Station,InUit2018,code,name_short
Utrecht Centraal,194385,UT,Utrecht C
Amsterdam Centraal,192178,ASD,Amsterdm C
Rotterdam Centraal,96690,RTD,Rotterdm C
Schiphol Airport,92214,SHL,Schiphol
Den Haag Centraal,91437,GVC,Den Haag C
Leiden Centraal,79376,LEDN,Leiden C
Eindhoven Centraal,65468,EHV,Eindhovn C
Amsterdam Zuid,60819,ASDZ,Amsterdm Z
Amsterdam Sloterdijk,58800,ASS,Sloterdijk
's-Hertogenbosch,47347,HT,Den Bosch
Nijmegen,45403,NM,Nijmegen
Amersfoort Centraal,43710,AMF,Amersfrt C
Arnhem Centraal,43677,AH,Arnhem C
Haarlem,42040,HLM,Haarlem
Zwolle,41100,ZL,Zwolle
Delft,38423,DT,Delft
Breda,35863,BD,Breda
Tilburg,34503,TB,Tilburg
Amsterdam Amstel,33717,ASA,Amstel
Den Haag HS,33612,GV,Dn Haag HS
Amsterdam Bijlmer ArenA,28111,ASB,Bijlmer A
Almere Centrum,27124,ALM,Almere C
Hilversum,26697,HVS,Hilversum
Dordrecht,24483,DDR,Dordrecht
Rotterdam Blaak,24006,RTB,Blaak
Gouda,23696,GD,Gouda
Schiedam Centrum,23164,SDM,Schiedam C
Zaandam,22765,ZD,Zaandam
Alkmaar,21026,AMR,Alkmaar
Deventer,20903,DV,Deventer
Hoofddorp,18884,HFD,Hoofddorp
Ede-Wageningen,18369,ED,Ede-Wag
Rotterdam Alexander,18310,RTA,Alexander
Groningen,17768,GN,Groningen
Den Haag Laan v NOI,16660,LAA,Laan v NOI
Amsterdam Lelylaan,15836,ASDL,Lelylaan
Apeldoorn,14840,APD,Apeldoorn
Lelystad Centrum,14531,LLS,Lelystad C
Hoorn,14306,HN,Hoorn
Amsterdam Muiderpoort,14148,ASDM,Muiderprt
Woerden,13358,WD,Woerden
Duivendrecht,13126,DVD,Duivendrt
Zutphen,11988,ZP,Zutphen
Maastricht,11854,MT,Maastricht
Roermond,11378,RM,Roermond
Alphen a/d Rijn,10759,APN,Alphen
Leeuwarden,10393,LW,Leeuwarden
Roosendaal,10317,RSD,Roosendaal
Sittard,10286,STD,Sittard
Weesp,9930,WP,Weesp
