hopcount,size,stations
1,4,ASDM ASHD BKL WP 
2,7,AMPO ASB ASD ASSP MAS NDB WD 
3,14,ALMM ASA ASDZ ASS BDG BSMZ DMN DVD GDG HLM HVS SHL UT UTZL 
4,29,AH ALM AMF APN ASDL BLL BRN DB DMNZ ED GD GVC HAD HFD HN HT HVSM HVSP HWZB KLP LEDN OVN PMR RAI UTLR UTM UTO UTVR ZD 
5,52,AHP AHZ ALMB ALMO ALMP AMFS APD BHV BNK BSK CAS DR DV DVNK EDC EHV EST GV HIL HLMS HNK HOR HTO HVL KZ LAA LDL LLS LLZM MRN NKK NM NS NVP NWK O PMO RTA RTD SD SPTZ TB UTLN UTT VB VG WADT WF ZDK ZL ZV ZVT 
6,62,AHPR AML AMR APDM APDO ASN AVAT BD BMN BNN BSKS BTL CPS DDR DID DL DLD DRON DT DVC GP GVMW HD HDE HGV HKS HLO HM HMBV HNO HTN MP NMGO NMH NML OST OTB PMW PT RAT RS RSD RTB RTN RVS SDM SPTN SSH ST TBU VH VNDW VST VTN WAD WT WTV WV ZLSH ZP ZTMO ZZS 
7,56,AKM AMRI AMRN BET BGN BKG BL BNC DDRS DDZD DN DRH DTCP DVN EML ETN GN GVM HMBH HMH HON HR HRN HTNC HZE KBK KPN KPNZ LC LW MMLH NMD NVD OMN OT OW RM RSW RTZ STZ SWK TBR TWL VD VNDC VP VZ WADN WC WH WL WM WZ YPB ZLW ZTM 
8,43,BDPB BKF BN BNZ CK CL DA DEI DTCH EC EHS FN FWD GERP GNN GO GS GW GZ HDB HDG HRT HWD KMA KRG LWC MG MRB MZ RB RH RHN RL RLB RSN RTST SKND SM STD SWD VEM ZH ZVB 
9,38,ARN BDM BF BMR BP BR BRD BZL CO DDN DRP DTC DWE EKZ GBG GDM GK GLN HLG HRL KBD KW LTN LTV LUT MDB MT OBD ODB RV SDA SGN SK SRN UTG VHP WDN WSM 
10,27,ANA BK BSD DLN EMNZ GDR HGLG HK HLGH HRLW IJT LG MTH MTN MTR SBK STM TPSW UST VL VLB VS VSS WFM WS ZBM ZWD 
11,22,APG BDE BV EDN EGH EGHM EMN HDRZ HGL HGZ LDM LP MES NSCH SN TBG TG TL UHZ VDL VRY WK 
12,18,AKL CVM DZ DZW ES ESK HDR HGLO HNP KMR KTR NH ODZ SGL UHM VSV WR ZB 
13,11,ATN ESE GR HB KMW KRD LEER OP RD SOG VDM 
14,7,BHDV EEM GBR HMN STV VK WW 
15,3,GND WWW ZA 
16,2,HBZM SDT 
17,1,SDTB 
