hopcount,size,stations
1,4,ALM ALMB LLS ZL 
2,16,ALMM ALMP ASD ASDZ ASN DL DRON DVD HGV HNO MP RAT WH WV WZ ZLSH 
3,20,AKM AMPO ASA ASB ASS BL GN HDE HLM HR HRN KPN KPNZ LW NVD OMN OST RAI SHL SWK 
4,32,AML ASDL ASHD BLL DEI DV FN FWD GERP GNN GVC GW HAD HDB HDG HFD HN HWZB LEDN LWC MAS MG MRB NDB OVN PMR SKND SWD WDN WP ZD ZH 
5,40,AC AMRI BDM BF BKL BP BSMZ CAS CO DMN DMNZ DRP DVC DVNK DWE GBG GK GV HGL HIL HLG HLMS HNK HVS KW KZ LAA LDL NVP PMO RSN SDA SK SPTZ VB VHP WSM ZDK ZTM ZVT 
6,35,AMF AMR APN ASSP BN BRN DA DLN DT EMNZ ES ESK GVMW HGLG HGLO HKS HLGH HLO HON HVSM HVSP IJT MTH ODZ PMW SPTN SSH STM UST VH VST WFM WS YPB ZZS 
7,28,AMFS AMRN APD APG ASDM BKG BSK DDN DRH DTCP EMN ESE GVM HGZ HOR HVL LP NKK NS NSCH RSW SD SDM UHZ UTO VZ WK WM 
8,21,APDM APDO AVAT BHV BKF BNN BSKS DZ DZW GBR HD HNP HWD KMA PT ST UHM UT WR ZB ZP 
9,26,BMN BNC DB EKZ EML GD GDG HT KBK KLP KMW LC LEER OBD RD SGN STZ TWL UTG UTLR UTM UTVR UTZL VD VDM WD 
10,24,ANA BDG BNK BNZ DLD EEM EHV GO HK HTO LLZM MRN NWK O RL RTA RTD STV TB UTLN UTT VEM VG WADT 
11,21,BD BTL BV CPS GP HDRZ HM HMBV HTN LTN LTV RS RTB RTN RVS TBU VNDW VTN WAD WT ZTMO 
12,18,BDPB BET DN EDC ETN HDR HMBH HMH HTNC HZE OT OW RM RTZ TBR VNDC WADN WWW 
13,13,CL EC ED EHS GZ HRT MZ RHN RLB RTST SM STD WW 
14,9,AH BRD GDM GLN HRL LUT MT SRN WF 
15,18,AHP AHZ BK BSD DR EST HRLW LG MTN MTR NM OTB SBK TPSW WC ZBM ZV ZWD 
16,15,AHPR BDE DID EDN EGH EGHM LDM MES NMGO NMH NML SN TL VDL WTV 
17,11,AKL CVM DVN KMR KTR MMLH NH NMD SGL VP WL 
18,8,CK DTCH GR HB KRD OP RH SOG 
19,5,BHDV BMR DTC HMN VK 
20,4,GDR GND VLB ZA 
21,4,HBZM SDT TBG VRY 
22,3,BR SDTB VSV 
23,3,ATN DDRS VL 
24,2,DDR TG 
25,4,DDZD RSD RV ZLW 
26,2,BGN ZVB 
27,4,GS KRG ODB RB 
28,4,ARN BZL KBD MDB 
29,2,VS VSS 
