hopcount,size,stations
1,12,AMFS APD BRN DLD DV HVL HVS NKK NS UT WD ZL 
2,38,AML APDM APDO ASD ASN AVAT BDG BHV BNN DB DL DVC DVD GD GDG HD HDE HGV HNO HT HVSM HVSP KPNZ MAS MP NDB OST PT RAT SD STZ UTLR UTM UTVR UTZL WV ZLSH ZP 
3,53,AKM AMPO AMRI APN ASA ASB ASDZ ASS BKL BL BMN BNC BNK BSMZ EHV EML GN GV GVC HLM HON HOR HR HRN HTO KBK KPN LC LLZM LW MRN NVD NWK O OMN RAI RTA RTD ST SWK TB TWL UTLN UTO UTT VB VD VG VZ WADT WH WP WZ 
4,58,AC ALMM ASDL ASHD BD BLL BN BNZ BSK BTL CPS DA DEI DMN DMNZ DT DTCP FN FWD GERP GNN GO GP GVMW GW HAD HDB HDG HM HMBV HN HTN HWZB LAA LDL LWC MG MRB OVN PMR RL RS RSN RTB RTN SDM SHL SKND SWD TBU VEM VNDW VTN WAD WT ZD ZH ZTMO 
5,50,ALM ASSP BDM BDPB BET BF BP BSKS CAS CO DDN DN DRP DWE ETN GBG GK HFD HIL HLG HLMS HMBH HMH HNK HTNC HZE KW KZ LEDN LTN LTV OT OW PMO RM RSW RTZ SDA SK SPTZ TBR VHP VNDC WADN WDN WSM YPB ZDK ZTM ZVT 
6,35,ALMB ALMO ALMP AMR ASDM CL DLN DVNK EC EDC EHS EMNZ GZ HGLG HKS HLGH HLO IJT LLS MTH MZ NVP PMW RHN RLB RTST SPTN STD STM UST VH WFM WS WWW ZZS 
7,24,AMRN APG BKG BRD DRH DRON ED EMN GDM GLN HGL HGZ HRL LP LUT MT NSCH SRN SSH UHZ VST WK WM WW 
8,27,AH BK BKF BSD DZ DZW ES ESK GVM HGLO HNP HRLW HWD KLP KMA LG MTN MTR ODZ SBK TPSW UHM WF WR ZB ZBM ZWD 
9,26,AHP AHZ BDE DR EDN EGH EGHM EKZ ESE EST KMW LDM LEER MES NM OBD OTB RD SGN SN TL UTG VDL VDM WC ZV 
10,19,AHPR AKL ANA CVM DID EEM GBR HK KMR KTR NH NMGO NMH NML RVS SGL STV WTV ZA 
11,13,BV DVN GR HB HDRZ HMN KRD MMLH NMD OP SOG VP WL 
12,6,BHDV CK DTCH HDR RH VK 
13,3,BMR DTC GND 
14,4,GDR HBZM SDT VLB 
15,3,SDTB TBG VRY 
16,3,BR DDRS VSV 
17,4,ATN DDR HRT VL 
18,4,DDZD RSD TG ZLW 
19,3,BGN RV ZVB 
20,5,GS KRG ODB RB SM 
21,4,ARN BZL KBD MDB 
22,2,VS VSS 
