hopcount,size,stations
1,3,AMF AVAT ZL 
2,19,APD ASN BRN DL DLD DV HGV HNO HVL HVS KPNZ MP NKK RAT UT WD WH WV ZLSH 
3,38,AKM AML APDM APDO ASD BDG BHV BL BNN DB DRON DVC DVD GD GDG GN HD HR HRN HT HVSM HVSP KPN LW MAS NDB NVD OMN OST PT SD STZ SWK UTLR UTM UTVR UTZL ZP 
4,56,AMPO AMRI APN ASA ASB ASDZ ASS BKL BMN BNC BNK BSMZ DEI EHV EML FN FWD GERP GNN GV GVC GW HDB HDG HLM HON HOR HTO KBK LC LLZM LWC MG MRB MRN NS NWK O RAI RTA RTD SKND ST SWD TB TWL UTLN UTO UTT VB VD VG VZ WADT WP ZH 
5,58,AC ALMM ASDL ASHD BD BDM BF BLL BN BNZ BP BSK BTL CO CPS DMN DMNZ DRP DT DTCP DWE GBG GK GO GP GVMW HAD HDE HLG HM HMBV HN HTN HWZB KW LAA LDL OVN PMR RL RS RSN RTB RTN SDA SDM SHL SK TBU VEM VHP VNDW VTN WAD WSM WT ZD ZTMO 
6,47,ALM ASSP BDPB BET BSKS CAS DA DDN DLN DN EMNZ ETN HFD HIL HLGH HLMS HMBH HMH HNK HTNC HZE IJT KZ LEDN LTN LTV MTH OT OW PMO RM RSW RTZ SPTZ STM TBR UST VNDC WADN WDN WFM WS WZ YPB ZDK ZTM ZVT 
7,33,ALMB ALMO ALMP AMR APG ASDM CL DVNK EC EDC EHS EMN GZ HGLG HGZ HKS HLO LLS LP MZ NSCH NVP PMW RHN RLB RTST SPTN STD UHZ VH WK WWW ZZS 
8,22,AMRN BKG BRD DRH DZ DZW ED GDM GLN HGL HNP HRL LUT MT SRN SSH UHM VST WM WR WW ZB 
9,25,AH BK BKF BSD ES ESK GVM HGLO HRLW HWD KLP KMA KMW LEER LG MTN MTR ODZ RD SBK TPSW VDM WF ZBM ZWD 
10,24,AHP AHZ BDE DR EDN EEM EGH EGHM EKZ ESE EST LDM MES NM OBD OTB SGN SN STV TL UTG VDL WC ZV 
11,17,AHPR AKL ANA CVM DID GBR HK KMR KTR NH NMGO NMH NML RVS SGL WTV ZA 
12,13,BV DVN GR HB HDRZ HMN KRD MMLH NMD OP SOG VP WL 
13,6,BHDV CK DTCH HDR RH VK 
14,3,BMR DTC GND 
15,4,GDR HBZM SDT VLB 
16,3,SDTB TBG VRY 
17,3,BR DDRS VSV 
18,4,ATN DDR HRT VL 
19,4,DDZD RSD TG ZLW 
20,3,BGN RV ZVB 
21,5,GS KRG ODB RB SM 
22,4,ARN BZL KBD MDB 
23,2,VS VSS 
