hopcount,size,stations
1,2,AML BN 
2,5,DV HGL NVD VZ WDN 
3,13,AMF APD DA ES ESK HGLG HGLO ODZ OST RAT RSN TWL ZP 
4,20,AMFS APDM APDO BMN BRN DDN DLD DR ESE HNO HON HVL HVS UT VD VEM VHP WD WH ZL 
5,38,AH ALMO ASD ASN AVAT BDG BHV BNN DB DVC DVD GBR GD GDG GO HD HGV HVSM HVSP KBK KPNZ LLS MAS MP MRB NDB NS RH RL SD STZ UTLR UTM UTVR UTZL WV WZ ZLSH 
6,51,AHZ AKM ALM ALMB APN ASA ASB ASDZ ASS BKL BL BNC BNK BSMZ DRON ED EML EST GN GV GVC HDB HDE HLM HOR HR HRN KPN LC LLZM LTV LW MRN NKK NM NWK OMN OTB RAI RTA RTD ST SWK UTLN UTO UTT VB VP WADT WC WP 
7,57,AC AHPR ALMM ALMP ASDL ASHD BLL BSK CO CPS DEI DL DMN DMNZ DT DTCP EDC FN FWD GBG GERP GNN GVMW GW HAD HDG HN HTN HWZB KLP LAA LDL LWC MG NMGO NMH NML O OVN PMR PT RTB RTN RVS SDM SHL SKND SWD VNDW VTN WAD WF WWW ZA ZD ZH ZTMO 
8,42,AHP AMPO ASSP BDM BF BP BSKS CAS DLN DRP DWE EMNZ GK HFD HIL HLG HLMS HMN HNK HT HTNC KW KZ LEDN LTN MMLH NMD OW PMO RSW RTZ SDA SK SPTZ VNDC WADN WSM WW YPB ZDK ZTM ZVT 
9,31,AMR ASDM ATN BNZ CK CL DVNK EHV EMN HKS HLGH HLO IJT MTH NVP OP PMW RHN RLB RS RTST SPTN STM TB UST VG VH WFM WS WTV ZZS 
10,25,AMRN APG BD BKG BMR BRD BTL DRH DVN GP HGZ HM HMBV HTO KTR LP NSCH SSH TBU UHZ VST VSV WK WM WT 
11,22,BDPB BET BKF DZ DZW ETN GVM HMBH HMH HNP HWD HZE KMA OT RSD TBR TL UHM VLB WR ZB ZV 
12,17,BGN DID EHS EKZ GZ KMW LEER MZ OBD ODB RD SGN TPSW UTG VDM VRY ZLW 
13,11,ANA BR EEM GDM GS HK KRG RB STV WL ZVB 
14,11,ARN BSD BV BZL DTCH HDRZ HRT KBD MDB VL ZBM 
15,7,DN DTC HDR LDM TG VS VSS 
16,3,AKL GDR RV 
17,3,GR SM TBG 
18,2,BHDV RM 
19,3,EC GND STD 
20,7,GLN HBZM HRL LUT MT SDT SRN 
21,7,BK HRLW LG MTN MTR SBK SDTB 
22,8,BDE DDRS EDN EGH EGHM MES SN VDL 
23,5,CVM DDR KMR NH SGL 
24,5,DDZD HB KRD SOG ZWD 
25,1,VK 
