hopcount,size,stations
1,6,AMF APDM APDO DV ZL ZP 
2,29,AMFS AML ASN BMN BRN DL DLD DR DVC HGV HNO HVL HVS KBK KPNZ LC LLS MP NKK NS OST RAT TWL UT VD WD WV WZ ZLSH 
3,41,AH AKM AMRI ASD AVAT BDG BHV BL BNN DB DRON DVD GD GDG GN GO HD HDE HON HR HRN HVSM HVSP KPN LW MAS NDB OMN PT RH RL SD STZ SWK UTLR UTM UTVR UTZL VEM VZ WH 
4,52,AHZ AMPO APN ASA ASB ASDZ ASS BKL BN BNC BNK BSMZ DA DDN DEI ED EML EST FN FWD GERP GNN GV GVC GW HDG HLM HOR LLZM LTV LWC MG MRN NM NWK OTB RAI RSN RTA RTD SKND ST SWD UTLN UTO UTT VB VP WADT WC WP ZH 
5,55,AC AHPR ALMM ASDL ASHD BDM BF BLL BNZ BP BSK CPS DMN DMNZ DRP DT DTCP DWE EDC GK GVMW HAD HGLG HLG HN HTN HWZB KLP KW LAA LDL NMGO NMH NML O OVN PMR RTB RTN RVS SDA SDM SHL SK VHP VNDW VTN WAD WDN WF WSM WWW ZA ZD ZTMO 
6,39,AHP ALM ASSP BSKS CAS HFD HGL HIL HLGH HLMS HMN HNK HT HTNC IJT KZ LEDN LTN MMLH MRB MTH NMD NVD OW PMO RSW RTZ SPTZ STM UST VNDC WADN WFM WS WW YPB ZDK ZTM ZVT 
7,36,ALMB ALMO ALMP AMR APG ASDM ATN CK CL DVNK EHV ES ESK HDB HGLO HGZ HKS HLO LP NSCH NVP ODZ OP PMW RHN RLB RS RTST SPTN TB UHZ VG VH WK WTV ZZS 
8,29,AMRN BD BKG BMR BRD BTL CO DRH DVN DZ DZW ESE GBG GDM GP HM HMBV HNP HTO KTR SSH TBU UHM VST VSV WM WR WT ZB 
9,26,BDPB BET BKF BSD DLN EMNZ ETN GBR GVM HMBH HMH HWD HZE KMA KMW LEER OT RD RSD TBR TL VDM VLB ZBM ZV ZWD 
10,15,BGN DID EEM EHS EKZ EMN GZ LDM MZ OBD SGN STV TPSW UTG VRY 
11,8,AKL ANA BR GS HK KRG RB WL 
12,10,ARN BV BZL DTCH GR HDRZ HRT KBD MDB VL 
13,7,BHDV DN DTC HDR TG VS VSS 
14,3,GDR GND RV 
15,4,HBZM SDT SM TBG 
16,2,RM SDTB 
17,3,DDRS EC STD 
18,6,DDR GLN HRL LUT MT SRN 
19,8,BK DDZD HRLW LG MTN MTR SBK ZLW 
20,8,BDE EDN EGH EGHM MES SN VDL ZVB 
21,5,CVM KMR NH ODB SGL 
22,3,HB KRD SOG 
23,1,VK 
