hopcount,size,stations
1,4,AC ASA ASD ASSP 
2,6,ASB ASS DMN DVD HLM UT 
3,24,ASDL ASDZ ASHD BLL DB DMNZ GD GDG HAD HN HT HWZB KLP MAS OVN PMR RAI UTLR UTM UTO UTVR WD WP ZD 
4,28,AMPO BDG BHV BKL BNK CAS EHV HIL HLMS HNK HTO KZ MRN NDB NWK O PMO RTA SHL SPTZ TB UTLN UTT UTZL VG WADT ZDK ZVT 
5,28,ALMM AMR BD BSMZ BTL CPS GP GVC HFD HKS HLO HM HMBV HTN HVS LEDN PMW RS RTD RTN RVS SPTN TBU VH VNDW VTN WT ZZS 
6,33,ALM AMF AMRN BDPB BET BKG BRN DDR DN DRH DVNK ETN GV HMBH HMH HTNC HVSM HVSP HZE LAA LDL NVP OT OW RM RSD RTB TBR VB VNDC WC WM ZTM 
7,36,ALMB ALMO ALMP AMFS APD APN BGN BKF CL DDZD DT DV EC EHS GVMW GZ HOR HRT HVL HWD KMA LLS MZ NKK NS RHN RTZ SD SM SSH STD VST YPB ZL ZLW ZTMO 
8,45,AML APDM APDO ASN AVAT BNN BR BSK DL DRON DTCP DVC EKZ GDM GLN GS GVM HD HDE HGV HNO HRL KRG LLZM LUT MP MT OBD OST PT RAT RB RLB RSW RTST RV SDM SGN SRN ST UTG WV ZLSH ZP ZVB 
9,43,AKM AMRI ANA ARN BK BL BMN BNC BRD BSD BSKS BZL EML GN HK HON HR HRLW HRN KBD KBK KPN KPNZ LC LG LW MDB MTN MTR NVD ODB OMN SBK STZ SWK TPSW TWL VD VL VZ WH WZ ZBM 
10,38,BDE BN BNZ BV DA DEI DLD EDN EGH EGHM FN FWD GERP GNN GO GW HDB HDG HDRZ LDM LWC MES MG MRB RL RSN SKND SN SWD TG TL VDL VEM VS VSS WADN ZH ZWD 
11,26,AKL BDM BF BP CO CVM DDN DRP DWE GBG GK HDR HLG KMR KTR KW LTN LTV NH SDA SGL SK VHP WAD WDN WSM 
12,17,DLN EDC EMNZ GR HB HGLG HLGH IJT KRD MTH OP SOG STM UST WFM WS WWW 
13,13,APG BHDV ED EMN HGL HGZ HMN LP NSCH UHZ VK WK WW 
14,14,AH DZ DZW ES ESK GND HGLO HNP ODZ UHM WF WR ZA ZB 
15,14,AHP AHZ DR ESE EST HBZM KMW LEER NM OTB RD SDT VDM ZV 
16,10,AHPR DID EEM GBR NMGO NMH NML SDTB STV WTV 
17,6,DDRS DVN MMLH NMD VP WL 
18,3,CK DTCH RH 
19,2,BMR DTC 
20,2,GDR VLB 
21,2,TBG VRY 
22,1,VSV 
23,1,ATN 
