hopcount,size,stations
1,8,ASD ASDL HLM HN HWZB PMR SHL ZD 
2,20,ALM ASA ASB ASDM ASDZ BLL CAS GVC HAD HFD HLMS HNK HVS KZ LEDN OVN PMO RTD UT ZDK 
3,42,AC ALMB ALMO ALMP AMF AMR ASHD ASSP BD BRN DB DDR DVD DVNK GD GDG GV HIL HKS HLO HT HVSP KLP LAA LDL LLS MAS NVP PMW RSD RTB RTN SPTZ UTLR UTM UTO UTVR VB WD ZTM ZVT ZZS 
4,47,AMFS AMRN APD APN BGN BHV BKG BKL BNK DDRS DDZD DMN DMNZ DRON DT DV EHV ETN GVMW HGV HOR HTO HVL MRN NKK NS NWK O RAI RTA RTZ SD SPTN SSH TB UTLN UTT UTZL VG VH VST WM WV YPB ZL ZLW ZTMO 
5,54,AML APDM APDO ASN AVAT BDG BDPB BKF BL BNN BSK BTL CPS DL DRH DTCP DVC GP GS GVM HD HDE HM HMBV HNO HR HTN HWD KMA KPNZ KRG LLZM LW MP OST PT RAT RB RLB RS RSW RTST RVS SDM SDTB ST TBU VNDW VTN WP WT ZLSH ZP ZVB 
6,53,AKM AMPO AMRI ARN BET BMN BNC BRD BSKS BZL DEI DN EKZ EML FN FWD GN GW HDG HMBH HMH HON HRN HTNC HZE KBD KBK KPN LC LWC MDB MG NDB NVD OBD ODB OMN OT OW RM SGN SKND STZ SWK TBR TWL UTG VD VNDC VZ WC WH WZ 
7,36,ALMM ANA BN BNZ BP BSMZ CL DA DLD DRP DWE EC EHS GERP GNN GO GZ HDB HK HLG HRT MRB MZ RHN RL RSN SK SM STD SWD VEM VS VSS WADN ZH ZWD 
8,27,BDM BF BR BV CO DDN GBG GDM GK GLN HDRZ HLGH HRL HVSM IJT KW LTN LTV LUT MT RV SDA SRN VHP WAD WDN WSM 
9,23,BK BSD DLN EDC EMNZ HDR HGLG HRLW LG MTH MTN MTR SBK STM TPSW UST VL WADT WFM WK WS WWW ZBM 
10,20,APG BDE ED EDN EGH EGHM EMN HGL HGZ HNP LDM LP MES NSCH SN TG TL UHZ VDL WW 
11,18,AH AKL CVM DZ DZW ES ESK HGLO KMR KMW KTR NH ODZ SGL UHM WF WR ZB 
12,17,AHP AHZ DR ESE EST GR HB KRD LEER NM OP OTB RD SOG STV VDM ZV 
13,11,AHPR BHDV DID EEM GBR HMN NMGO NMH NML VK WTV 
14,7,DVN GND MMLH NMD VP WL ZA 
15,5,CK DTCH HBZM RH SDT 
16,2,BMR DTC 
17,2,GDR VLB 
18,2,TBG VRY 
19,1,VSV 
20,1,ATN 
