hopcount,size,stations
1,2,GND GR 
2,3,AKL HBZM SDT 
3,2,LDM SDTB 
4,2,BSD DDRS 
5,2,DDR GDM 
6,10,BD CL DDZD RSD RTB RTD TPSW ZBM ZLW ZWD 
7,17,BDPB BGN BRD DT DTCP ETN GD GZ HT HTNC RTA RTN SDM SHL TB TL ZVB 
8,18,CPS EHV GDG GS GV HTN HTO KRG KTR LLZM O ODB RB RLB RSW TBR VG WADT 
9,22,ARN BTL BZL GP GVC GVMW HM HMBV KBD LAA LEDN MDB NWK OP RS RTST RTZ RVS TBU UTLN WAD WT 
10,22,BET DN GVM HAD HFD HMBH HMH HMN HZE LDL OT OW RM SSH UTVR VB VH VS VSS WADN WC ZTM 
11,16,BNK BSKS EC EHS HIL HLM HRT MZ NVP SM STD UT VST YPB ZA ZTMO 
12,25,AMF ASA ASB ASD BLL BR BSK DB DVD DVNK EST GLN HLMS HRL LUT MAS MT OVN RV SRN UTLR UTM UTO UTZL WD 
13,35,AH AHZ AMFS APD APN ASDM ASDZ ASHD ASS BDG BHV BK BKL DMNZ ED HOR HRLW HVL HVSP KLP LG MRN MTN MTR NKK NM NML NS RAI SBK SPTZ UTT VL ZL ZVT 
14,43,AC AHP APDM APDO ASDL ASN ASSP AVAT BDE BNN DL DLD DR EDC EDN EGH EGHM HD HDE HGV HN HNO HVS HWZB KPNZ MES MP NMGO NMH OTB PMR PT RAT SN SPTN TG VDL VNDW VTN WV ZD ZLSH ZV 
15,37,AHPR AKM BL BMN BNC CAS CVM DID DMN DRH EML GN HNK HR HRN HVSM KMR KPN KZ LTN LW MMLH NDB NH NMD OMN PMO SGL STZ SWK TWL VNDC WF WTV WZ ZDK ZP 
16,37,AMPO AMR BNZ BSMZ BV CK DEI DV DVN FN FWD GERP GNN GW HB HDB HDG HKS HLO KRD LC LWC MG MRB PMW RHN SKND SOG ST SWD VD VEM VP WL WP ZH ZZS 
17,30,ALMM AML AMRN BDM BF BKG BMR BP CO DRP DTCH DVC DWE GBG GK GO HK HLG KBK KW OST RH RL SD SDA SK VHP VK WM WSM 
18,22,ALM AMRI BKF BRN DDN DLN DTC EMNZ HLGH HON HWD IJT KMA LTV MTH STM UST VLB VZ WFM WH WS 
19,20,ALMB ALMO ALMP APG DA EKZ EMN GDR HGLG HGZ LLS LP NSCH OBD RSN SGN UHZ UTG VRY WK 
20,11,ANA DRON DZ DZW HGL HNP TBG UHM WDN WR ZB 
21,12,BN ES ESK HDRZ HGLO KMW LEER NVD ODZ RD VDM VSV 
22,5,ATN EEM ESE HDR STV 
23,2,GBR WW 
24,1,WWW 
