hopcount,size,stations
1,2,BNN BNZ 
2,2,HVL LTN 
3,2,AMF EDC 
4,12,AMFS APD BRN DLD DV ED HVS NKK NS UT WD ZL 
5,39,AH AML APDM APDO ASD ASN AVAT BDG BHV DB DL DVC DVD GD GDG HD HDE HGV HNO HT HVSM HVSP KLP KPNZ MAS MP NDB OST PT RAT SD STZ UTLR UTM UTVR UTZL WF WV ZLSH 
6,55,AHP AHZ AKM AMPO AMRI APN ASA ASB ASDZ ASS BKL BL BNK BSMZ DR EHV EML EST GN GV GVC HLM HON HOR HR HRN HTO KPN LLZM LW MRN NM NVD NWK OMN OTB RAI RTA RTD ST SWK TB TWL UTLN UTO UTT VB VG VZ WADT WC WH WP WZ ZV 
7,63,AC AHPR ALMM ASDL ASHD BD BLL BMN BSK BTL CPS DA DEI DID DMN DMNZ DT DTCP FN FWD GERP GNN GP GVMW GW HAD HDB HDG HM HMBV HN HTN HWZB LAA LDL LWC MG MRB NMGO NMH NML O OVN PMR RSN RTB RTN RVS SDM SHL SKND SWD TBU VNDW VTN WAD WT WTV ZA ZD ZH ZP ZTMO 
8,54,ALM ASSP BDM BDPB BET BF BP BSKS CAS CO DRP DVN DWE ETN GBG GK HFD HIL HLG HLMS HMBH HMH HMN HNK HTNC HZE KW KZ LC LEDN MMLH NMD OT OW PMO RSW RTZ SDA SK SPTZ TBR VD VEM VHP VNDC VP WADN WDN WL WSM YPB ZDK ZTM ZVT 
9,38,ALMB ALMO ALMP AMR ASDM CK CL DLN DTCH DVNK EHS EMNZ GO GZ HKS HLGH HLO IJT KBK LLS MTH MZ NVP OP PMW RH RHN RL RLB RS RTST SPTN STM UST VH WFM WS ZZS 
10,21,AMRN APG BKG BMR BRD DDN DRH DRON DTC EMN GDM HGZ KTR LP LTV NSCH SSH UHZ VST WK WM 
11,18,BKF BSD DZ DZW GDR GVM HGLG HNP HWD KMA TL TPSW UHM VLB WR ZB ZBM ZWD 
12,12,EKZ HGL KMW LDM LEER OBD RD SGN TBG UTG VDM VRY 
13,12,AKL ANA BN BR EEM ES ESK HGLO HK ODZ STV VSV 
14,7,ATN BV ESE GR HDRZ HRT VL 
15,6,BHDV DN GBR HDR TG WW 
16,3,GND RV WWW 
17,3,HBZM SDT SM 
18,2,RM SDTB 
19,3,DDRS EC STD 
20,6,DDR GLN HRL LUT MT SRN 
21,9,BK DDZD HRLW LG MTN MTR RSD SBK ZLW 
22,9,BDE BGN EDN EGH EGHM MES SN VDL ZVB 
23,8,CVM GS KMR KRG NH ODB RB SGL 
24,7,ARN BZL HB KBD KRD MDB SOG 
25,3,VK VS VSS 
