hopcount,size,stations
1,2,DB UTVR 
2,5,ED KLP MRN UT UTLN 
3,18,AH AMF ASA ASB ASD DVD EDC GD GDG HTN MAS UTLR UTM UTO UTZL VNDW WD WF 
4,40,AHP AHZ AMFS APD ASDM ASDZ ASHD ASS BDG BHV BKL DMNZ DR DV EST GV GVC HLM HOR HTNC HVL HVSP LLZM LTN NKK NM NS NWK OTB RAI RTA RTD SHL UTT VB VNDC WADT WC ZL ZV 
5,55,AC AHPR AML APDM APDO APN ASDL ASN ASSP AVAT BLL BMN BNN BNZ CL CPS DID DL DLD DT DTCP DVC GVMW HAD HD HDE HFD HGV HN HNO HVS HWZB KPNZ LAA MP NMGO NMH NML OST OVN PMR PT RAT RHN RTB RTN SDM VTN WAD WTV WV ZD ZLSH ZP ZTMO 
6,48,AKM AMRI BL BNC BSK CAS DMN DVN EML GDM GN HLMS HNK HON HR HRN HVSM KBK KPN KZ LC LDL LW MMLH NDB NMD NVD NVP OMN PMO RSW RTZ SPTZ STZ SWK TWL VD VEM VP VZ WADN WH WL WZ YPB ZDK ZTM ZVT 
7,38,AMPO AMR BSD BSKS BSMZ CK DA DEI DTCH FN FWD GERP GNN GO GW HDB HDG HKS HLO LEDN LWC MG MRB PMW RH RL RLB RSN RTST SKND SPTN ST SWD TPSW WP ZBM ZH ZZS 
8,32,ALMM AMRN BDM BF BKG BMR BP BRD CO DDN DRH DRP DTC DVNK DWE GBG GK HLG HT KW LDM LTV SD SDA SK SSH TL VH VHP WDN WM WSM 
9,27,AKL ALM BKF BRN DLN EHV EMNZ GDR HGLG HIL HLGH HTO HWD IJT KMA KTR MTH O STM TB UST VG VLB VST WFM WS ZWD 
10,30,ALMB ALMO ALMP APG BD BTL EKZ EMN GP GR GVM HGL HGZ HM HMBV LLS LP NSCH OBD OP RS RVS SGN TBG TBU UHZ UTG VRY WK WT 
11,29,ANA BDPB BET BHDV BN BR DN DRON DZ DZW ES ESK ETN HGLO HK HMBH HMH HMN HNP HZE ODZ OT OW RM TBR UHM VSV WR ZB 
12,18,ATN BV EC EHS ESE GND GZ HDRZ HRT KMW LEER MZ RD SM STD VDM VL ZA 
13,13,EEM GBR GLN HBZM HDR HRL LUT MT SDT SRN STV TG WW 
14,9,BK HRLW LG MTN MTR RV SBK SDTB WWW 
15,8,BDE DDRS EDN EGH EGHM MES SN VDL 
16,5,CVM DDR KMR NH SGL 
17,6,DDZD HB KRD RSD SOG ZLW 
18,3,BGN VK ZVB 
19,4,GS KRG ODB RB 
20,4,ARN BZL KBD MDB 
21,2,VS VSS 
