hopcount,size,stations
1,2,RLB ZWD 
2,3,DDR RTST RTZ 
3,6,BD DDRS DDZD RSD RTB ZLW 
4,9,BDPB BGN EHV ETN GZ RTD SDTB TB ZVB 
5,18,DT DTCP GD GP GS HM HMBV KRG ODB OT RB RTA RTN SDM SDT SHL TBR WT 
6,25,ARN ASB ASD ASDL ASDZ ASS BTL BZL CPS DN GDG GND GV HBZM HMBH HMH HZE KBD LLZM MDB RM RSW TBU UT WADT 
7,31,AMF ASHD BET BHDV DB DVD EC ED GVC GVMW HN HRT KLP LAA LEDN MAS MZ NWK PMR RAI SM STD UTM UTO UTVR UTZL VS VSS WAD WD ZD 
8,41,AMFS APD ASA BHV BKL BNK BR DMNZ DV EDC EHS GLN GR GVM HAD HFD HNK HOR HRL HVL HVSP KZ LDL LUT MRN MT NKK NS PMO RV SRN SSH UTLN VB VH VTN WADN WF ZDK ZL ZTM 
9,44,AC AKL AML APDM APDO ASDM ASN AVAT BK BNN BSKS DL DLD DVC HD HDE HGV HIL HKS HLM HNO HRLW HTN HVS KPNZ LG MP MTN MTR NVP OST PMW PT RAT SBK UTT VL VNDW VST WV YPB ZLSH ZTMO ZZS 
10,40,AKM AMRI ASSP BDE BKG BL BLL BNC BSK DVNK EDN EGH EGHM EML GN HLMS HON HR HRN HVSM KBK KPN LDM LW MES NDB NVD OMN OVN SN STZ SWK TG TWL UTLR VDL VNDC VZ WH WZ 
11,34,AMPO APN BKF BNZ BSD BSMZ CVM DA DEI DMN FN FWD GERP GNN GW HDB HDG HWZB KMR LWC MG MRB NH RHN RSN SGL SKND SPTZ ST SWD VEM WP ZH ZVT 
12,25,ALMM BDG BDM BF BP CO DRP DWE EKZ GBG GDM GK HB HLG KRD KW LTN SD SDA SK SOG SPTN VHP WDN WSM 
13,16,ALM BRN CL DLN DRH EMNZ HLGH IJT MTH STM TPSW UST VK WFM WS ZBM 
14,15,ALMB ALMO ALMP APG BV EMN HGZ HT HTNC LLS LP NSCH TL UHZ WK 
15,12,DRON DZ DZW HK HNP HTO KTR O UHM VG WR ZB 
16,8,KMW LEER OP RD RS RVS UTG VDM 
17,7,CAS EEM HMN KMA OW STV WC 
18,4,AMR HLO WM ZA 
19,2,AMRN EST 
20,5,AH AHZ HWD NM NML 
21,8,AHP DR NMGO NMH OBD OTB SGN ZV 
22,8,AHPR ANA BMN DID MMLH NMD WTV ZP 
23,7,CK DVN HDRZ LC VD VP WL 
24,6,BMR DTCH GO HDR RH RL 
25,4,DDN DTC LTV VLB 
26,3,GDR HGLG VRY 
27,2,HGL TBG 
28,6,BN ES ESK HGLO ODZ VSV 
29,2,ATN ESE 
30,2,GBR WW 
31,1,WWW 
