hopcount,size,stations
1,3,BET OT VG 
2,3,EHS HT TB 
3,7,BD EHV HTO O TBU UT ZBM 
4,27,AMF ASA ASB ASD BDPB DDR DVD ETN GD GDG GDM GP HM HMBV MAS NM RS RSD RTD RVS TBR UTLR UTM UTO UTZL WD WT 
5,48,AH AMFS ASDM ASDZ ASHD ASS BDG BGN BHV BKL BSD CL DDRS DMNZ DN DT DTCP EST GZ HLM HMBH HMH HOR HVL HVSP HZE LLZM NKK NMH NML NS NWK ODB OW RAI RM RTA RTB RTN SDM SHL TPSW UTT WADT WC ZL ZLW ZWD 
6,57,AC AHP AHZ APN ASDL ASN ASSP AVAT BLL BNN BRD CPS DDZD DL DLD DR EC ED GS GV HAD HD HDE HFD HGV HN HNO HRT HTNC HVS HWZB KPNZ KRG LDM MMLH MP MZ NMD OTB OVN PMR PT RAT RB RSW SDTB SM STD TL VTN WAD WV ZD ZLSH ZTMO ZV ZVB 
7,57,AHPR AKL AKM ARN BL BMN BNC BR BSK BZL CAS CK DID DMN EDC EML GLN GN GVC GVMW HLMS HNK HR HRL HRN HTN HVSM KBD KPN KTR KZ LAA LDL LUT LW MDB MT NDB NMGO NVP OMN PMO RLB RV SPTZ SRN STZ SWK WADN WF WTV WZ YPB ZDK ZP ZTM ZVT 
8,52,AMPO AMR APD BK BMR BNZ BSKS BSMZ DEI DV DVN FN FWD GERP GNN GR GVM GW HDG HKS HLO HRLW LC LEDN LG LTN LWC MG MTN MTR OP PMW RTST RTZ SBK SKND SPTN ST SWD UTLN VB VD VEM VL VP VRY VS VSS WL WP ZH ZZS 
9,42,ALMM AML AMRN APDO BDE BDM BF BHDV BKG BP DRH DRP DTCH DVC DVNK DWE EDN EGH EGHM GK GO HLG HMN KBK KW MES OST RH RL SD SDA SK SN SSH TG TWL UTVR VDL VH VLB WM WSM 
10,29,ALM AMRI APDM BKF BNK BRN CVM DDN DTC GND HIL HLGH HON HWD IJT KMA KMR LTV MTH NH SGL STM UST VST VZ WFM WH WS ZA 
11,24,ALMB ALMO ALMP APG DA DB EKZ GDR HB HBZM HGLG HGZ KRD LLS LP NSCH OBD RSN SDT SGN SOG UHZ UTG WK 
12,16,ANA DRON DZ DZW HGL HK HNP KLP MRN TBG UHM VHP VK WDN WR ZB 
13,15,BN BV ES ESK HDRZ HGLO KMW LEER MRB NVD ODZ RD VDM VNDW VSV 
14,7,ATN EEM ESE HDB HDR STV VNDC 
15,5,CO GBG GBR RHN WW 
16,3,DLN EMNZ WWW 
17,1,EMN 
