hopcount,size,stations
1,2,BV SPTN 
2,2,HK SPTZ 
3,2,BLL UTG 
4,3,CAS HLM KMA 
5,8,AMR ASD ASS HAD HLMS HLO OVN WM 
6,15,ALM AMRN ASA ASB ASDL ASDM ASDZ HIL HVS HWZB LEDN SHL UT ZVT ZZS 
7,29,AC ALMB ALMO ALMP AMF ASHD ASSP BRN DB DVD DVNK GV GVC HFD HT HVSP HWD KLP KZ LAA LDL LLS MAS SSH UTLR UTM UTO UTVR VH 
8,37,AMFS APD APN BHV BKL BNK DMN DMNZ DRON DT DV EHV GVMW HGV HOR HTO HVL MRN NKK NS NVP O OBD RAI SD SGN TB UTLN UTT UTZL VB VG VST WV ZD ZL ZTM 
9,46,AML ANA APDM APDO ASN AVAT BDG BL BNN BSK BTL DL DTCP DVC GP GVM HD HDE HM HMBV HN HNO HR HTN KPNZ LW MP OST PT RAT RS RSW RTD RVS SDM ST TBU VNDW VTN WP WT YPB ZDK ZLSH ZP ZTMO 
10,53,AKM AMPO AMRI BD BET BMN BNC BSKS DDR DEI DN EML FN FWD GN GW HDG HDRZ HMBH HMH HNK HON HRN HTNC HZE KBK KPN LC LLZM LWC MG NDB NVD OMN OT OW PMW RM RSD RTB RTN SKND STZ SWK TBR TWL VD VNDC VZ WC WD WH WZ 
11,40,ALMM BGN BN BNZ BP BSMZ CL DA DDRS DDZD DLD DRP DWE EC EHS ETN GERP GNN GO GZ HDB HDR HKS HLG HRT MRB MZ PMR RHN RL RSN RTZ SK SM STD SWD VEM WADN ZH ZLW 
12,35,BDM BDPB BF BKG BR CO DDN GBG GDM GK GLN GS HLGH HRL HVSM IJT KRG KW LTN LTV LUT MT PMO RB RLB RTST RV SDA SDTB SRN VHP WAD WDN WSM ZVB 
13,30,ARN BK BKF BRD BSD BZL DLN EDC EMNZ HGLG HRLW KBD LG MDB MTH MTN MTR ODB SBK SDT STM TPSW UST VL WADT WFM WK WS WWW ZBM 
14,27,APG BDE ED EDN EGH EGHM EKZ EMN GD GND HBZM HGL HGZ HNP LDM LP MES NSCH SN TG TL UHZ VDL VS VSS WW ZWD 
15,22,AH AKL BHDV CVM DZ DZW ES ESK GDG HGLO KMR KMW KTR NH NWK ODZ RTA SGL UHM WF WR ZB 
16,18,AHP AHZ CPS DR ESE EST GR HB KRD LEER NM OP OTB RD SOG STV VDM ZV 
17,10,AHPR DID EEM GBR HMN NMGO NMH NML VK WTV 
18,6,DVN MMLH NMD VP WL ZA 
19,3,CK DTCH RH 
20,2,BMR DTC 
21,2,GDR VLB 
22,2,TBG VRY 
23,1,VSV 
24,1,ATN 
