hopcount,size,stations
1,5,DTCP GV RSW RTD SDM 
2,11,BD DDR GD GVC GVMW LAA LEDN RSD RTA RTB RTN 
3,23,ASD BGN CPS DDRS DDZD EHV ETN GDG GVM GZ HAD HFD LDL RTZ SHL SSH TB UT VB VH WADT ZLW ZTM 
4,38,AH AMF APN ASB ASDL ASDZ ASS BDPB DB ED GP GS HIL HLM HM HMBV KLP KRG MAS NVP NWK OT RB RLB RTST SDTB TBR UTM UTO UTVR UTZL VST WAD WD WT YPB ZTMO ZVB 
5,49,AHP ALM AMFS APD ARN ASHD BDG BHV BKL BLL BNK BRD BSK BTL BZL DN DR DV DVD DVNK EDC HLMS HMBH HMH HN HOR HVL HVSP HZE KBD LLZM MDB MRN NKK NS ODB OVN PMR RAI RM SDT TBU UTLN VTN WADN WF ZD ZL ZV 
6,55,AC AHPR ALMB ALMO ALMP AML APDM APDO ASA ASN AVAT BET BMN BNN BSKS DID DL DLD DMNZ DVC EC GND HBZM HD HDE HGV HNK HNO HRT HTN HVS HWZB KZ LLS MP MZ OST OTB PMO PT RAT SM SPTZ STD UTT VNDW VS VSS WTV WV ZDK ZLSH ZP ZVT ZWD 
7,45,AKM AMRI ASDM BHDV BL BNC BR DRON DVN EHS EML GLN GN HKS HON HR HRL HRN HTNC HVSM KBK KPN LC LUT LW MT NVD OMN PMW RV SPTN SRN STZ SWK TWL UTLR VD VNDC VP VZ WH WL WP WZ ZZS 
8,40,AMPO ASSP BK BKG BN BNZ CL DA DEI DRH DTCH FN FWD GERP GNN GO GR GW HDB HDG HRLW KPNZ LG LWC MG MRB MTN MTR NDB RH RHN RL RSN SBK SKND ST SWD VEM VL ZH 
9,34,AKL ALMM BDE BDM BF BKF BP BSMZ BV CO DDN DMN DRP DTC DWE EDN EGH EGHM GBG GK HLG KW LTN LTV MES SD SDA SK SN TG VDL VHP WDN WSM 
10,19,BRN CVM DLN EKZ EMNZ GDR HGLG HK HLGH IJT KMR LDM MTH NH SGL STM UST WFM WS 
11,14,APG BSD EMN HB HGL HGZ KRD LP NSCH SOG TBG UHZ UTG WK 
12,15,CAS DZ DZW ES ESK GDM HGLO HNP KMA ODZ UHM VK VSV WR ZB 
13,11,AMR ATN ESE HLO KMW LEER RD TPSW VDM WM ZBM 
14,7,AMRN EEM GBR HT STV TL WW 
15,6,HTO HWD KTR O VG WWW 
16,5,OBD OP RS RVS SGN 
17,4,ANA HMN OW WC 
18,2,HDRZ ZA 
19,2,EST HDR 
20,3,AHZ NM NML 
21,2,NMGO NMH 
22,2,MMLH NMD 
23,1,CK 
24,1,BMR 
25,1,VLB 
26,1,VRY 
