hopcount,size,stations
1,8,ALM ASA ASB ASDZ DMNZ HVS RAI UT 
2,25,AH ALMB ALMO ALMP AMF ASD ASDM ASHD BRN DB ED GD GDG HT HVSP KLP LLS MAS SHL UTLR UTM UTO UTVR WD WP 
3,45,AC AHP AHZ AMFS AMPO APD ASS ASSP BDG BHV BKL BNK DR DRON DV EHV EST GVC HFD HGV HLM HOR HTO HVL LEDN MRN NDB NKK NM NS NWK O RTA RTD SD TB UTLN UTT UTZL VG WADT WF WV ZL ZV 
4,65,AHPR ALMM AML APDM APDO ASDL ASN AVAT BD BL BLL BNN BSMZ BTL CPS DDR DID DL DLD DMN DVC DVNK GP GV HAD HD HDE HM HMBV HN HNO HR HTN HWZB KPNZ LAA LDL LW MP NMGO NMH NML NVP OST OTB OVN PMR PT RAT RS RSD RTB RTN RVS ST TBU VB VNDW VTN WT WTV ZD ZLSH ZP ZTM 
5,68,AKM AMRI APN BDPB BET BGN BMN BNC CAS DDZD DEI DN DT DVN EML ETN FN FWD GN GVMW GW HDG HIL HLMS HMBH HMH HNK HON HRN HTNC HVSM HZE KBK KPN KZ LC LWC MG MMLH NMD NVD OMN OT OW PMO RM RTZ SKND SPTZ SSH STZ SWK TBR TWL VD VNDC VP VST VZ WC WH WL WZ YPB ZDK ZLW ZTMO ZVT 
6,49,AMR BN BNZ BP BSK CK CL DA DRP DTCH DTCP DWE EC EHS GERP GNN GO GS GVM GZ HDB HKS HLG HLO HRT KRG LLZM MRB MZ PMW RB RH RHN RL RLB RSN RSW RTST SDM SK SM SPTN STD SWD VEM VH ZH ZVB ZZS 
7,36,AMRN ARN BDM BF BKG BMR BR BRD BSKS BZL CO DDN DRH DTC GBG GDM GK GLN HLGH HRL IJT KBD KW LTN LTV LUT MDB MT ODB RV SDA SRN VHP WDN WM WSM 
8,30,BK BKF BSD DLN EDC EMNZ GDR HGLG HRLW HWD KMA LG MTH MTN MTR SBK STM TPSW UST VL VLB VS VSS WADN WFM WK WS WWW ZBM ZWD 
9,26,APG BDE EDN EGH EGHM EKZ EMN HGL HGZ HNP LDM LP MES NSCH OBD SGN SN TBG TG TL UHZ UTG VDL VRY WAD WW 
10,19,AKL ANA CVM DZ DZW ES ESK HGLO HK KMR KMW KTR NH ODZ SGL UHM VSV WR ZB 
11,13,ATN BV ESE GR HB HDRZ KRD LEER OP RD SOG STV VDM 
12,6,BHDV EEM GBR HDR HMN VK 
13,2,GND ZA 
14,2,HBZM SDT 
15,1,SDTB 
16,1,DDRS 
