hopcount,size,stations
1,2,WTV ZV 
2,2,AHP DID 
3,3,AH AHPR WL 
4,9,AHZ DTCH ED EST NM OTB UT VP WC 
5,23,ASA ASB DB DTC DVD EDC GD GDG KLP MAS NMGO NMH NML O RH RVS UTLR UTM UTO UTZL WD WF ZA 
6,26,ASDZ ASHD BDG BKL BNK DR GDR GV GVC HMN HOR HT LLZM LTN MMLH MRN NMD NWK OW RAI RTA RTD SHL UTT VB WADT 
7,26,AC APN BMN BNZ CK CPS DT DTCP EHV GVMW HFD LAA OP RS RTB RTN SDM TB TBG UTVR VG VNDW VTN WAD ZP ZTMO 
8,27,APD BD BMR BNC BSK BTL DV GP HM HMBV HTO KTR LC LDL NVP RSW RTZ TBU UTLN VD VEM VNDC VSV WADN WT YPB ZTM 
9,26,AML APDO ATN BDPB BET BNN BSKS DVC ETN GO HMBH HMH HTN HZE KBK LEDN OST OT RHN RL RSD RTST TBR TL TWL VLB 
10,20,AMRI APDM BGN DDN DVNK EHS GZ HON HTNC HVL MZ ODB SSH TPSW VH VRY VZ WH WW ZLW 
11,14,AMF BR DA GDM GS HGLG HIL KRG RB RSN VST WWW ZL ZVB 
12,30,AMFS ARN ASN BRN BSD BZL CL DL DLD GVM HGL HGV HNO HRT HVS KBD KPNZ LTV MDB MP NKK NS RAT VHP VL WDN WV WZ ZBM ZLSH 
13,33,AKM ASD AVAT BHV BL BN DN DRON ES ESK GN HD HDE HGLO HR HRN HVSM HVSP KPN LDM LW MRB NDB NVD ODZ OMN PT SD STZ SWK TG VS VSS 
14,23,AKL AMPO ASS BSMZ DEI EML ESE FN FWD GERP GNN GW HDB HDG HLM LWC MG RV SKND ST SWD WP ZH 
15,27,ALMM ASDL BDM BF BLL BP CO DMN DMNZ DRP DWE GBG GBR GK GR HAD HLG HN HWZB KW OVN PMR SDA SK SM WSM ZD 
16,21,ALM ASSP BHDV CAS DLN EMNZ HLGH HLMS HNK IJT KZ MTH PMO RM SPTZ STM UST WFM WS ZDK ZVT 
17,21,ALMB ALMO ALMP AMR APG ASDM EC EMN GND HGZ HKS HLO LLS LP NSCH PMW SPTN STD UHZ WK ZZS 
18,17,AMRN BKG DRH DZ DZW GLN HBZM HNP HRL LUT MT SDT SRN UHM WM WR ZB 
19,14,BK BKF HRLW HWD KMA KMW LEER LG MTN MTR RD SBK SDTB VDM 
20,14,BDE DDRS EDN EEM EGH EGHM EKZ MES OBD SGN SN STV UTG VDL 
21,7,ANA CVM DDR HK KMR NH SGL 
22,7,BV DDZD HB HDRZ KRD SOG ZWD 
23,3,BRD HDR VK 
24,1,RLB 
