hopcount,size,stations
1,6,AH DB EDC KLP UT WF 
2,22,AHP AHZ ASA ASB BNK DR DVD EST GD GDG LTN MAS MRN NM OTB UTLR UTM UTO UTZL WC WD ZV 
3,30,AHPR ASDZ ASHD BDG BKL BMN BNZ DID GV GVC HOR LLZM NMGO NMH NML NWK O RAI RTA RTD RVS SHL UTT UTVR VB VNDW WADT WTV ZA ZP 
4,30,AC APD APN BNC CPS DT DTCP DV DVN GVMW HFD HMN HT LAA LC MMLH NMD OW RTB RTN SDM UTLN VD VEM VNDC VP VTN WAD WL ZTMO 
5,27,AML APDO BNN BSK CK DTCH DVC EHV GO HTN KBK LDL NVP OP OST RH RHN RL RS RSW RTZ TB TWL VG WADN YPB ZTM 
6,24,AMRI APDM BD BMR BSKS BTL DDN DTC GP HM HMBV HON HTNC HTO HVL KTR LEDN LTV RLB RTST TBU VZ WH WT 
7,22,AMF BDPB BET BRD CL DA DVNK ETN GDR HGLG HMBH HMH HZE OT RSD RSN SSH TBR TL VH VLB ZL 
8,29,AMFS ASN BGN BRN DL DLD EHS GDM GZ HGL HGV HIL HNO HVS KPNZ MP MZ NKK NS RAT TBG TPSW VHP VRY VST WDN WV ZLSH ZWD 
9,36,AKM ASD AVAT BHV BL BN BR BSD DRON ES ESK GN GS GVM HD HDE HGLO HR HRN HVSM HVSP KPN KRG LW MRB NDB NVD ODZ OMN PT RB SD STZ SWK VSV ZBM 
10,30,AMPO ARN ASS ATN BSMZ BZL DEI EML ESE FN FWD GERP GNN GW HDB HDG HLM HRT KBD LDM LWC MDB MG SKND ST SWD VL WP WZ ZH 
11,31,AKL ALMM ASDL BDM BF BLL BP CO DMN DMNZ DN DRP DWE GBG GBR GK HAD HLG HN HWZB KW OVN PMR SDA SK TG VS VSS WSM WW ZD 
12,22,ALM ASSP CAS DLN EMNZ GR HLGH HLMS HNK IJT KZ MTH PMO RV SPTZ STM UST WFM WS WWW ZDK ZVT 
13,20,ALMB ALMO ALMP AMR APG ASDM BHDV EMN HGZ HKS HLO LLS LP NSCH PMW SM SPTN UHZ WK ZZS 
14,12,AMRN BKG DRH DZ DZW GND HNP RM UHM WM WR ZB 
15,11,BKF EC HBZM HWD KMA KMW LEER RD SDT STD VDM 
16,12,EEM EKZ GLN HRL LUT MT OBD SDTB SGN SRN STV UTG 
17,9,ANA BK DDRS HK HRLW LG MTN MTR SBK 
18,10,BDE BV DDR EDN EGH EGHM HDRZ MES SN VDL 
19,7,CVM DDZD HDR KMR NH SGL ZLW 
20,4,HB KRD SOG ZVB 
21,2,ODB VK 
