hopcount,size,stations
1,2,HD PT 
2,3,NKK NS ZL 
3,13,AMF ASN AVAT DL HDE HGV HNO KPNZ MP RAT WH WV ZLSH 
4,21,AKM AMFS APD BL BRN DLD DRON GN HR HRN HVL HVS KPN LW NVD OMN OST SWK UT WD WZ 
5,39,AML APDM APDO ASD BDG BHV BNN DB DEI DV DVD FN FWD GD GDG GERP GNN GW HDB HDG HT HVSM HVSP LWC MAS MG MRB NDB SD SKND STZ SWD UTLR UTM UTVR UTZL WDN ZH ZP 
6,55,AMPO AMRI APN ASA ASB ASDZ ASS BDM BF BKL BMN BNC BNK BP BSMZ CO DRP DVC DWE EHV GBG GK GV GVC HGL HLG HLM HOR HTO KBK KW LC LLZM MRN NWK O RAI RSN RTA RTD SDA SK ST TB TWL UTLN UTO UTT VB VD VG VHP WADT WP WSM 
7,58,AC ALMM ASDL ASHD BD BLL BN BNZ BSK BTL CPS DA DLN DMN DMNZ DT DTCP EMNZ ES ESK GO GP GVMW HAD HGLG HGLO HLGH HM HMBV HN HON HTN HWZB IJT LAA LDL MTH ODZ OVN PMR RL RS RTB RTN SDM SHL STM TBU UST VEM VNDW VTN WAD WFM WS WT ZD ZTMO 
8,44,ALM APG ASSP BDPB BET BSKS CAS DDN DN EMN ESE ETN HFD HGZ HIL HLMS HMBH HMH HNK HTNC HZE KZ LEDN LP LTN LTV NSCH OT OW PMO RM RSW RTZ SPTZ TBR UHZ VNDC VZ WADN WK YPB ZDK ZTM ZVT 
9,32,ALMB ALMO ALMP AMR ASDM CL DVNK DZ DZW EC EDC EHS GBR GZ HKS HLO HNP LLS MZ NVP PMW RHN RLB RTST SPTN STD UHM VH WR WWW ZB ZZS 
10,19,AMRN BKG BRD DRH ED GDM GLN HRL KMW LEER LUT MT RD SRN SSH VDM VST WM WW 
11,19,AH BK BKF BSD EEM GVM HRLW HWD KLP KMA LG MTN MTR SBK STV TPSW WF ZBM ZWD 
12,21,AHP AHZ BDE DR EDN EGH EGHM EKZ EST LDM MES NM OBD OTB SGN SN TL UTG VDL WC ZV 
13,16,AHPR AKL ANA CVM DID HK KMR KTR NH NMGO NMH NML RVS SGL WTV ZA 
14,13,BV DVN GR HB HDRZ HMN KRD MMLH NMD OP SOG VP WL 
15,6,BHDV CK DTCH HDR RH VK 
16,3,BMR DTC GND 
17,4,GDR HBZM SDT VLB 
18,3,SDTB TBG VRY 
19,3,BR DDRS VSV 
20,4,ATN DDR HRT VL 
21,4,DDZD RSD TG ZLW 
22,3,BGN RV ZVB 
23,5,GS KRG ODB RB SM 
24,4,ARN BZL KBD MDB 
25,2,VS VSS 
