hopcount,size,stations
1,2,CO EMN 
2,3,DLN GBG HDB 
3,2,MRB OMN 
4,2,DL VHP 
5,2,DA ZL 
6,16,ALMO AMF AMFS ASN HD HGV HNO KPNZ LLS MP NS VZ WH WV WZ ZLSH 
7,22,AKM ALM ALMB AML BL BRN DLD DRON EML GN HDE HR HRN HVL HVS KPN LW NKK OST SWK UT WD 
8,40,ALMM ALMP AMRI ASD ASDZ AVAT BDG BHV BNN DB DEI DV DVD FN FWD GD GDG GERP GNN GW HDG HGL HVSM HVSP LWC MAS MG NDB NVD PT SD SKND STZ SWD UTLR UTM UTVR UTZL WDN ZH 
9,49,AMPO APD APN ASA ASB ASS BDM BF BKL BN BNC BNK BP BSMZ DRP DWE ES ESK GK GV GVC HGLG HGLO HLG HLM HOR KW LLZM MRN NWK ODZ RAI RAT RSN RTA RTD SDA SHL SK ST TWL UTLN UTO UTT VB WADT WP WSM ZP 
10,45,AC APDM APDO ASDL ASHD BLL BMN BNZ BSK CPS DDN DMN DMNZ DR DT DTCP ESE GVMW HAD HFD HLGH HN HON HTN HWZB IJT LAA LDL MTH OVN PMR RTB RTN SDM STM UST VD VEM VNDW VTN WAD WFM WS ZD ZTMO 
11,34,AH APG ASSP BSKS CAS DVC GBR GO HGZ HIL HLMS HNK HTNC KBK KZ LEDN LP LTN NSCH NVP PMO RH RL RSW RTZ SPTZ UHZ VNDC WADN WK YPB ZDK ZTM ZVT 
12,29,AHZ AMR ASDM CL DVNK DZ DZW ED EST HKS HLO HNP LC LTV NM OTB PMW RHN RLB RTST SPTN SSH UHM VH VP WC WR ZB ZZS 
13,22,AHPR AMRN BKG BRD DRH EDC GDM KLP KMW LEER NMGO NMH NML O RD RVS VDM VST WF WM WWW ZA 
14,16,AHP BKF BSD EEM GVM HMN HT HWD KMA MMLH NMD OW STV WW ZBM ZWD 
15,13,ATN CK EHV EKZ LDM OBD OP RS SGN TB UTG VG WTV 
16,15,AKL ANA BD BMR BTL DVN GP HK HM HMBV HTO KTR TBU VSV WT 
17,15,BDPB BET BV ETN GR HDRZ HMBH HMH HZE OT RSD TBR TL VLB ZV 
18,9,BGN BHDV DID EHS GZ HDR MZ TPSW VRY 
19,6,BR GND GS KRG RB WL 
20,9,ARN BZL DTCH HBZM HRT KBD MDB SDT VL 
21,6,DN DTC SDTB TG VS VSS 
22,3,DDRS GDR RV 
23,3,DDR SM TBG 
24,3,DDZD RM ZLW 
25,3,EC STD ZVB 
26,6,GLN HRL LUT MT ODB SRN 
27,6,BK HRLW LG MTN MTR SBK 
28,7,BDE EDN EGH EGHM MES SN VDL 
29,4,CVM KMR NH SGL 
30,3,HB KRD SOG 
31,1,VK 
