hopcount,size,stations
1,5,AH AHZ NM NML ZA 
2,11,AHP DR ED HMN NMGO NMH O OTB UT WC ZV 
3,26,AHPR ASA ASB BMN DB DID DVD EDC GD GDG HT KLP MAS MMLH NMD OP OW RVS UTLR UTM UTO UTZL WD WF WTV ZP 
4,32,APD ASDZ ASHD BDG BKL BNK CK DV DVN EHV GV GVC HOR KTR LC LLZM LTN MRN NWK RAI RS RTA SHL TB UTT VB VD VEM VG VP WADT WL 
5,32,AC AML APDO APN BD BMR BNZ BTL CPS DTCH DVC GO GP GVMW HFD HM HMBV HTO KBK LAA OST RH RL TBU TL TWL UTVR VNDW VTN WAD WT ZTMO 
6,28,AMRI APDM BDPB BET BNC BSK DDN DTC ETN HMBH HMH HON HZE LDL LTV NVP OT RSD RSW TBR TPSW VLB VNDC VZ WADN WH YPB ZTM 
7,17,BGN BNN BSKS DA EHS GDM GDR GZ HGLG LEDN MZ ODB RHN RSN VRY ZL ZLW 
8,26,ASN BR BSD CL DL DVNK GS HGL HGV HNO HVL KPNZ KRG MP RAT RB SSH TBG VH VHP WDN WV WZ ZBM ZLSH ZVB 
9,30,AKM AMF ARN BL BN BZL DRON ES ESK GN HDE HGLO HIL HR HRN HRT HTNC KBD KPN LDM LW MDB MRB NVD ODZ OMN SWK VL VST VSV 
10,28,AKL AMFS ATN BRN DEI DLD DN ESE FN FWD GERP GNN GVM GW HDB HDG HTN HVS LWC MG NKK NS SKND SWD TG VS VSS ZH 
11,28,ASD AVAT BDM BF BHV BP CO DRP DWE GBG GBR GK GR HD HLG HVSM HVSP KW NDB PT RV SD SDA SK STZ UTLN WSM WW 
12,19,AMPO ASS BHDV BSMZ DLN EML EMNZ HLGH HLM IJT MTH SM ST STM UST WFM WP WS WWW 
13,20,ALMM APG ASDL BLL DMN DMNZ EMN GND HAD HGZ HN HWZB LP NSCH OVN PMR RM UHZ WK ZD 
14,20,ALM ASSP CAS DZ DZW EC HBZM HLMS HNK HNP KZ PMO SDT SPTZ STD UHM WR ZB ZDK ZVT 
15,21,ALMB ALMO ALMP AMR ASDM GLN HKS HLO HRL KMW LEER LLS LUT MT PMW RD SDTB SPTN SRN VDM ZZS 
16,13,AMRN BK BKG DDRS DRH EEM HRLW LG MTN MTR SBK STV WM 
17,11,BDE BKF DDR EDN EGH EGHM HWD KMA MES SN VDL 
18,12,CVM DDZD EKZ KMR NH OBD RTB RTD SGL SGN UTG ZWD 
19,10,ANA BRD DT DTCP HB HK KRD RTN SDM SOG 
20,4,BV HDRZ RLB VK 
21,3,HDR RTST RTZ 
