hopcount,size,stations
1,4,BSD CL TPSW ZBM 
2,4,HT HTNC LDM TL 
3,8,AKL EHV HTN HTO KTR O TB VG 
4,12,BD BTL GP GR HM HMBV OP RS RVS TBU UTLN WT 
5,15,BDPB BET BHDV DN ETN HMBH HMH HMN HZE OT OW RM TBR UTVR WC 
6,11,BNK EC EHS GND GZ HRT MZ SM STD UT ZA 
7,24,AMF ASA ASB ASD BR DB DVD EST GD GDG GLN HBZM HRL LUT MAS MT RV SDT SRN UTLR UTM UTO UTZL WD 
8,42,AH AHZ AMFS APD ASDM ASDZ ASHD ASS BDG BHV BK BKL DMNZ ED GV GVC HLM HOR HRLW HVL HVSP KLP LG LLZM MRN MTN MTR NKK NM NML NS NWK RAI RTA SBK SDTB SHL UTT VB VL WADT ZL 
9,53,AC AHP APDM APDO APN ASDL ASN ASSP AVAT BDE BLL BNN CPS DDRS DL DLD DR EDC EDN EGH EGHM GVMW HAD HD HDE HFD HGV HN HNO HVS HWZB KPNZ LAA MES MP NMGO NMH OTB OVN PMR PT RAT SN TG VDL VNDW VTN WAD WV ZD ZLSH ZTMO ZV 
10,46,AHPR AKM BL BMN BNC BSK CAS CVM DDR DID DMN EML GN HLMS HNK HR HRN HVSM KMR KPN KZ LDL LTN LW MMLH NDB NH NMD NVP OMN PMO SGL SPTZ STZ SWK TWL VNDC WADN WF WTV WZ YPB ZDK ZP ZTM ZVT 
11,45,AMPO AMR BNZ BSKS BSMZ CK DDZD DEI DV DVN FN FWD GERP GNN GW HB HDB HDG HKS HLO KRD LC LEDN LWC MG MRB PMW RHN RSD RTB RTD SKND SOG SPTN ST SWD VD VEM VP WL WP ZH ZLW ZWD ZZS 
12,40,ALMM AML AMRN BDM BF BGN BKG BMR BP BRD CO DRH DRP DT DTCH DTCP DVC DVNK DWE GBG GK GO HLG KBK KW OST RH RL RTN SD SDA SDM SK SSH VH VHP VK WM WSM ZVB 
13,30,ALM AMRI BKF BRN DDN DLN DTC EMNZ GS HIL HLGH HON HWD IJT KMA KRG LTV MTH ODB RB RLB RSW STM UST VLB VST VZ WFM WH WS 
14,27,ALMB ALMO ALMP APG ARN BZL DA EKZ EMN GDR GVM HGLG HGZ KBD LLS LP MDB NSCH OBD RSN RTST RTZ SGN UHZ UTG VRY WK 
15,14,ANA DRON DZ DZW HGL HK HNP TBG UHM VS VSS WDN WR ZB 
16,13,BN BV ES ESK HDRZ HGLO KMW LEER NVD ODZ RD VDM VSV 
17,5,ATN EEM ESE HDR STV 
18,2,GBR WW 
19,1,WWW 
