hopcount,size,stations
1,2,DDN LC 
2,2,HGLG ZP 
3,7,APD BMN DR DV HGL VD VEM 
4,15,AH AMF AML APDO BN DVC ES ESK HGLO KBK ODZ OST RH RL TWL 
5,23,AHZ AMFS AMRI APDM BRN DLD ED ESE EST HVL HVS LTV NKK NM NVD OTB UT VP VZ WC WD WDN WH 
6,34,AHPR ASD AVAT BDG BHV DA DB DVD EDC GBR GD GDG HVSM HVSP KLP MAS NDB NMGO NMH NML O PT RAT RSN RVS SD STZ UTLR UTM UTVR UTZL WF WWW ZA 
7,39,AHP AMPO APN ASA ASB ASDZ ASS BKL BNK BSMZ EML GV GVC HLM HMN HNO HON HOR HT LLZM LTN MMLH MRN NMD NWK OW RAI RTA RTD ST UTLN UTO UTT VB VHP WADT WP WW ZL 
8,49,AC ALMM ASDL ASHD ASN ATN BLL BNZ BSK CK CPS DMN DMNZ DT DTCP EHV GVMW HAD HD HGV HN HTN HWZB KPNZ LAA LDL LLS MP MRB NS OP OVN PMR RS RTB RTN SDM SHL TB VG VNDW VTN WAD WTV WV WZ ZD ZLSH ZTMO 
9,46,AKM ALM ASSP BD BL BMR BNC BSKS BTL CAS DRON DVN GN GP HDB HDE HFD HIL HLMS HM HMBV HNK HR HRN HTNC HTO KPN KTR KZ LEDN LW OMN PMO RSW RTZ SPTZ SWK TBU VNDC VSV WADN WT YPB ZDK ZTM ZVT 
10,44,ALMB ALMO ALMP AMR ASDM BDPB BET BNN CO DEI DL DVNK ETN FN FWD GBG GERP GNN GW HDG HKS HLO HMBH HMH HZE LWC MG NVP OT PMW RHN RLB RSD RTST SKND SPTN SWD TBR TL VH VLB ZH ZV ZZS 
11,28,AMRN BDM BF BGN BKG BP DID DLN DRH DRP DWE EHS EMNZ GK GZ HLG KW MZ ODB SDA SK SSH TPSW VRY VST WM WSM ZLW 
12,19,BKF BR EMN GDM GS GVM HLGH HWD IJT KMA KRG MTH RB STM UST WFM WL WS ZVB 
13,20,APG ARN BSD BZL CL DTCH EKZ HGZ HRT KBD LP MDB NSCH OBD SGN UHZ UTG VL WK ZBM 
14,14,ANA DN DTC DZ DZW HK HNP LDM TG UHM VS VSS WR ZB 
15,9,AKL BV GDR HDRZ KMW LEER RD RV VDM 
16,6,EEM GR HDR SM STV TBG 
17,2,BHDV RM 
18,3,EC GND STD 
19,7,GLN HBZM HRL LUT MT SDT SRN 
20,7,BK HRLW LG MTN MTR SBK SDTB 
21,8,BDE DDRS EDN EGH EGHM MES SN VDL 
22,5,CVM DDR KMR NH SGL 
23,5,DDZD HB KRD SOG ZWD 
24,2,BRD VK 
