hopcount,size,stations
1,2,AKL BHDV 
2,2,GND LDM 
3,3,BSD HBZM SDT 
4,2,GDM SDTB 
5,4,CL DDRS TPSW ZBM 
6,4,DDR HT HTNC TL 
7,14,BD DDZD EHV HTN HTO KTR O RSD RTB RTD TB VG ZLW ZWD 
8,22,BDPB BGN BRD BTL DT DTCP ETN GD GP GZ HM HMBV OP RS RTA RTN RVS SDM TBU UTLN WT ZVB 
9,23,BET CPS DN GDG GS GV HMBH HMH HMN HZE KRG LLZM ODB OT OW RB RLB RM RSW TBR UTVR WADT WC 
10,21,ARN BNK BZL EC EHS GVC GVMW HRT KBD LAA LEDN MDB MZ NWK RTST RTZ SM STD UT WAD ZA 
11,30,AMF ASA ASB ASD BR DB DVD EST GLN GVM HAD HRL LDL LUT MAS MT RV SRN SSH UTLR UTM UTO UTZL VB VH VS VSS WADN WD ZTM 
12,40,AH AHZ AMFS APD ASDM ASDZ ASHD ASS BDG BHV BK BKL BSKS DMNZ ED HIL HLM HOR HRLW HVL HVSP KLP LG MRN MTN MTR NKK NM NML NS NVP RAI SBK SHL UTT VL VST YPB ZL ZTMO 
13,47,AC AHP APDM APDO ASDL ASN ASSP AVAT BDE BLL BNN BSK DL DLD DR DVNK EDC EDN EGH EGHM HD HDE HFD HGV HN HNO HVS HWZB KPNZ MES MP NMGO NMH OTB OVN PMR PT RAT SN TG VDL VNDW VTN WV ZD ZLSH ZV 
14,40,AHPR AKM APN BL BMN BNC CAS CVM DID DMN EML GN HLMS HNK HR HRN HVSM KMR KPN KZ LTN LW MMLH NDB NH NMD OMN PMO SGL SPTZ STZ SWK TWL VNDC WF WTV WZ ZDK ZP ZVT 
15,37,AMPO AMR BNZ BSMZ CK DEI DV DVN FN FWD GERP GNN GW HB HDB HDG HKS HLO KRD LC LWC MG MRB PMW RHN SKND SOG SPTN ST SWD VD VEM VP WL WP ZH ZZS 
16,30,ALMM AML AMRN BDM BF BKG BMR BP CO DRH DRP DTCH DVC DWE GBG GK GO HLG KBK KW OST RH RL SD SDA SK VHP VK WM WSM 
17,22,ALM AMRI BKF BRN DDN DLN DTC EMNZ HLGH HON HWD IJT KMA LTV MTH STM UST VLB VZ WFM WH WS 
18,20,ALMB ALMO ALMP APG DA EKZ EMN GDR HGLG HGZ LLS LP NSCH OBD RSN SGN UHZ UTG VRY WK 
19,12,ANA DRON DZ DZW HGL HK HNP TBG UHM WDN WR ZB 
20,13,BN BV ES ESK HDRZ HGLO KMW LEER NVD ODZ RD VDM VSV 
21,5,ATN EEM ESE HDR STV 
22,2,GBR WW 
23,1,WWW 
