hopcount,size,stations
1,3,HIL HLM LEDN 
2,12,ASD ASS BLL DVNK GV GVC HLMS LAA LDL OVN SSH VH 
3,22,ALM APN ASA ASB ASDL ASDM ASDZ DT GVMW HN HVS HWZB NVP PMR SHL SPTZ UT VB VST ZD ZTM ZVT 
4,34,AC ALMB ALMO ALMP AMF ASHD ASSP BDG BRN BSK DB DTCP DVD GVM HFD HNK HT HVSP KLP KZ LLS MAS PMO RSW RTD SDM SPTN UTLR UTM UTO UTVR YPB ZDK ZTMO 
5,39,AMFS APD BD BHV BKL BNK BSKS DDR DMN DMNZ DRH DRON DV EHV HGV HKS HOR HTO HVL LLZM MRN NKK NS O PMW RAI RSD RTB RTN SD TB UTLN UTT UTZL VG WD WV ZL ZZS 
6,44,AML APDM APDO ASN AVAT BGN BKG BL BNN BTL BV DDRS DDZD DL DVC ETN GP GZ HD HDE HM HMBV HNO HR HTN KPNZ LW MP OST PT RAT RS RTZ RVS ST TBU VNDW VTN WADN WP WT ZLSH ZLW ZP 
7,53,AKM AMPO AMRI BDPB BET BKF BMN BNC DEI DN EML FN FWD GN GS GW HDG HK HMBH HMH HON HRN HTNC HZE KBK KPN KRG LC LWC MG NDB NVD OMN OT OW RB RLB RM RTST SDTB SKND STZ SWK TBR TWL VD VNDC VZ WAD WC WH WZ ZVB 
8,39,ALMM ARN BN BNZ BP BRD BSMZ BZL CL DA DLD DRP DWE EC EHS EKZ GERP GNN GO HDB HLG HRT KBD MDB MRB MZ ODB RHN RL RSN SDT SK SM STD SWD UTG VEM WADT ZH 
9,32,BDM BF BR CAS CO DDN GBG GD GDM GK GLN GND HBZM HLGH HRL HVSM IJT KMA KW LTN LTV LUT MT RV SDA SRN VHP VS VSS WDN WSM ZWD 
10,28,AMR BHDV BK BSD DLN EDC EMNZ GDG HGLG HLO HRLW LG MTH MTN MTR NWK RTA SBK STM TPSW UST VL WFM WK WM WS WWW ZBM 
11,23,AMRN APG BDE CPS ED EDN EGH EGHM EMN GR HGL HGZ HNP LDM LP MES NSCH SN TG TL UHZ VDL WW 
12,19,AH AKL CVM DZ DZW ES ESK HGLO HWD KMR KMW KTR NH ODZ SGL UHM WF WR ZB 
13,18,AHP AHZ DR ESE EST HB KRD LEER NM OBD OP OTB RD SGN SOG STV VDM ZV 
14,11,AHPR ANA DID EEM GBR HMN NMGO NMH NML VK WTV 
15,7,DVN HDRZ MMLH NMD VP WL ZA 
16,4,CK DTCH HDR RH 
17,2,BMR DTC 
18,2,GDR VLB 
19,2,TBG VRY 
20,1,VSV 
21,1,ATN 
