hopcount,size,stations
1,2,GND SDT 
2,2,BHDV SDTB 
3,2,DDRS GR 
4,2,AKL DDR 
5,8,BD DDZD LDM RSD RTB RTD ZLW ZWD 
6,15,BDPB BGN BRD BSD DT DTCP ETN GD GZ RTA RTN SDM SHL TB ZVB 
7,15,ASDL CPS GDG GDM GS GV KRG LLZM ODB OT RB RLB RSW TBR WADT 
8,17,ARN BZL CL GVC GVMW KBD LAA LEDN MDB NWK RTST RTZ TBU TPSW WAD WD ZBM 
9,14,GVM HAD HFD HT HTNC LDL SSH TL VB VH VS VSS WADN ZTM 
10,13,BSKS EHV HIL HLM HTN HTO KTR NVP O VG VST YPB ZTMO 
11,14,BLL BSK BTL DVNK GP HLMS HM HMBV OP OVN RS RVS UTLN WT 
12,14,APN BET DN HMBH HMH HMN HWZB HZE OW RM SPTZ UTVR WC ZVT 
13,11,BDG BNK EC EHS HRT MZ SM SPTN STD UT ZA 
14,20,AMF ASA ASB ASD BR DB DRH DVD EST GLN HRL LUT MAS MT RV SRN UTLR UTM UTO UTZL 
15,32,AH AHZ AMFS APD ASDM ASDZ ASHD ASS BHV BK BKL BV DMNZ ED HOR HRLW HVL HVSP KLP LG MRN MTN MTR NKK NM NML NS RAI SBK UTT VL ZL 
16,41,AC AHP APDM APDO ASN ASSP AVAT BDE BNN DL DLD DR EDC EDN EGH EGHM HD HDE HGV HK HN HNO HVS KPNZ MES MP NMGO NMH OTB PMR PT RAT SN TG VDL VNDW VTN WV ZD ZLSH ZV 
17,36,AHPR AKM BL BMN BNC CVM DID DMN EML GN HNK HR HRN HVSM KMR KPN KZ LTN LW MMLH NDB NH NMD OMN PMO SGL STZ SWK TWL UTG VNDC WF WTV WZ ZDK ZP 
18,35,AMPO BNZ BSMZ CAS CK DEI DV DVN FN FWD GERP GNN GW HB HDB HDG HKS KRD LC LWC MG MRB PMW RHN SKND SOG ST SWD VD VEM VP WL WP ZH ZZS 
19,30,ALMM AML AMR BDM BF BKG BMR BP CO DRP DTCH DVC DWE GBG GK GO HLG HLO KBK KW OST RH RL SD SDA SK VHP VK WM WSM 
20,22,ALM AMRI AMRN BKF BRN DDN DLN DTC EMNZ HLGH HON IJT KMA LTV MTH STM UST VLB VZ WFM WH WS 
21,18,ALMB ALMO ALMP APG DA EKZ EMN GDR HGLG HGZ HWD LLS LP NSCH RSN UHZ VRY WK 
22,12,DRON DZ DZW HGL HNP OBD SGN TBG UHM WDN WR ZB 
23,12,ANA BN ES ESK HGLO KMW LEER NVD ODZ RD VDM VSV 
24,5,ATN EEM ESE HDRZ STV 
25,3,GBR HDR WW 
26,1,WWW 
