hopcount,size,stations
1,2,OP ZA 
2,2,EST KTR 
3,5,AH AHZ NM NML TL 
4,10,AHP DR ED NMGO NMH O OTB TPSW WC ZV 
5,13,AHPR BMN DID EDC GDM KLP MMLH NMD OW RVS WF WTV ZP 
6,14,APD BSD CK CL DV DVN LC LTN RS VD VEM VP WL ZBM 
7,15,AML APDO BMR BNZ DTCH DVC GO HT HTNC KBK LDM OST RH RL TWL 
8,16,AKL AMRI APDM BNC DDN DTC EHV HON HTN HTO LTV TB VG VLB VZ WH 
9,16,BD BNN BTL DA GDR GP GR HGLG HM HMBV RSN TBU UTLN VRY WT ZL 
10,27,ASN BDPB BET BHDV BR DL DN ETN HGL HGV HMBH HMH HNO HVL HZE KPNZ MP OT RAT TBG TBR UTVR VHP WDN WV WZ ZLSH 
11,28,AKM AMF BL BN BNK DRON EHS ES ESK GN GND GZ HDE HGLO HR HRN HRT KPN LW MRB MZ NVD ODZ OMN SWK UT VL VSV 
12,34,AMFS ASA ASB ASD ATN DB DEI DVD ESE FN FWD GD GDG GERP GNN GW HBZM HDB HDG LWC MAS MG NKK NS SDT SKND SWD TG UTLR UTM UTO UTZL WD ZH 
13,42,ASDM ASDZ ASHD ASS AVAT BDG BDM BF BHV BKL BP CO DMNZ DRP DWE GBG GBR GK GV GVC HD HLG HLM HOR HVSP KW LLZM MRN NWK PT RAI RTA RV SDA SDTB SHL SK UTT VB WADT WSM WW 
14,34,AC APN ASDL ASSP BLL CPS DDRS DLD DLN EML EMNZ GVMW HAD HFD HLGH HN HVS HWZB IJT LAA MTH OVN PMR SM STM UST VNDW VTN WAD WFM WS WWW ZD ZTMO 
15,28,APG BSK CAS DDR DMN EMN HGZ HLMS HNK HVSM KZ LDL LP NDB NSCH NVP PMO RM SPTZ STZ UHZ VNDC WADN WK YPB ZDK ZTM ZVT 
16,27,AMPO AMR BSKS BSMZ DDZD DZ DZW EC HKS HLO HNP LEDN PMW RHN RSD RTB RTD SPTN ST STD UHM WP WR ZB ZLW ZWD ZZS 
17,25,ALMM AMRN BGN BKG BRD DRH DT DTCP DVNK GLN HRL KMW LEER LUT MT RD RTN SD SDM SRN SSH VDM VH WM ZVB 
18,21,ALM BK BKF BRN EEM GS HIL HRLW HWD KMA KRG LG MTN MTR ODB RB RLB RSW SBK STV VST 
19,22,ALMB ALMO ALMP ARN BDE BZL EDN EGH EGHM EKZ GVM KBD LLS MDB MES OBD RTST RTZ SGN SN UTG VDL 
20,8,ANA CVM HK KMR NH SGL VS VSS 
21,5,BV HB HDRZ KRD SOG 
22,2,HDR VK 
