hopcount,size,stations
1,2,HVSP UTO 
2,3,BHV HVS UT 
3,20,AH AMF ASD BRN DB DLD DVD ED GD GDG HT HVSM KLP MAS NDB UTLR UTM UTVR UTZL WD 
4,43,AHP AHZ AMFS AMPO APD ASA ASB ASDZ ASS BDG BKL BNK BSMZ DR DV EHV EST GV GVC HLM HTO HVL LLZM MRN NKK NM NS NWK O RAI RTA RTD SD TB UTLN UTT VB VG WADT WF WP ZL ZV 
5,65,AC AHPR ALMM AML APDM APDO APN ASDL ASHD ASN AVAT BD BLL BNN BTL CPS DID DL DMN DMNZ DT DTCP DVC GP GVMW HAD HD HDE HGV HM HMBV HN HNO HTN HWZB KPNZ LAA MP NMGO NMH NML OST OTB OVN PMR PT RAT RS RTB RTN RVS SDM SHL ST TBU VNDW VTN WAD WT WTV WV ZD ZLSH ZP ZTMO 
6,61,AKM ALM AMRI ASSP BDPB BET BL BMN BNC BSK CAS DN DVN EML ETN GN HFD HIL HLMS HMBH HMH HNK HON HR HRN HTNC HZE KBK KPN KZ LC LDL LW MMLH NMD NVD OMN OT OW PMO RM RSW RTZ SPTZ STZ SWK TBR TWL VD VNDC VP VZ WADN WC WH WL WZ YPB ZDK ZTM ZVT 
7,49,ALMB ALMO ALMP AMR ASDM BN BNZ BSKS CK CL DA DEI DTCH EC EHS FN FWD GERP GNN GO GW GZ HDB HDG HKS HLO HRT LEDN LLS LWC MG MRB MZ NVP PMW RH RHN RL RLB RSN RTST SKND SM SPTN STD SWD VEM ZH ZZS 
8,37,AMRN BDM BF BKG BMR BP BR BRD CO DDN DRH DRON DRP DTC DVNK DWE GBG GDM GK GLN HLG HRL KW LTN LTV LUT MT RV SDA SK SRN SSH VH VHP WDN WM WSM 
9,29,BK BKF BSD DLN EDC EMNZ GDR HGLG HLGH HRLW HWD IJT KMA LG MTH MTN MTR SBK STM TPSW UST VL VLB VST WFM WS WWW ZBM ZWD 
10,26,APG BDE EDN EGH EGHM EKZ EMN GVM HGL HGZ LDM LP MES NSCH OBD SGN SN TBG TG TL UHZ UTG VDL VRY WK WW 
11,19,AKL ANA CVM DZ DZW ES ESK HGLO HK HNP KMR KTR NH ODZ SGL UHM VSV WR ZB 
12,13,ATN BV ESE GR HB HDRZ KMW KRD LEER OP RD SOG VDM 
13,7,BHDV EEM GBR HDR HMN STV VK 
14,2,GND ZA 
15,2,HBZM SDT 
16,1,SDTB 
17,1,DDRS 
18,1,DDR 
19,3,DDZD RSD ZLW 
20,2,BGN ZVB 
21,4,GS KRG ODB RB 
22,4,ARN BZL KBD MDB 
23,2,VS VSS 
