hopcount,size,stations
1,5,AKM GW LW SWK WV 
2,10,DEI FN FWD HDG LLS LWC MG MP SKND ZL 
3,23,ALM ALMB ALMO AMF AMFS APD ASN BP DL DRP DWE HD HGV HLG HNO KPNZ NS RAT SK WH WZ ZH ZLSH 
4,25,ALMM ALMP APDM ASD ASDZ BL BRN DLD DRON DVD EML GK GN HDE HLGH HVL HVS IJT KPN NKK NVD OMN OST UT WD 
5,38,AML AMPO ASA ASB ASS AVAT BDG BHV BNN DB DV GD GDG GERP GNN HDB HLM HRN HT HVSM HVSP KBK LEER MAS MRB NDB PT RAI SD SHL STZ SWD UTLR UTM UTVR UTZL WDN WK 
6,49,AMRI APN ASDL ASHD BDM BF BKL BLL BNC BNK BSMZ CO DVC EHV GBG GV GVC HAD HFD HGL HN HNP HOR HTO HWZB KW LLZM MRN NWK OVN PMR RSN RTA RTD SDA ST TB TWL UTLN UTO UTT VB VG VHP WADT WP WSM ZD ZP 
7,58,AC APDO BD BMN BN BNZ BSK BTL CAS CPS DA DLN DMN DMNZ DR DT DTCP EMNZ ES ESK GP GVMW HGLG HGLO HIL HLMS HM HMBV HNK HON HTN KMW KZ LAA LC LDL MTH NVP ODZ PMO RTB RTN SDM SPTZ STM TBU UST VD VEM VNDW VTN WAD WFM WS WT ZDK ZTMO ZVT 
8,39,AH AMR APG ASSP BDPB BET BSKS DDN EMN ESE ETN HGZ HKS HLO HMBH HMH HTNC HZE LEDN LP LTN NSCH OT PMW RH RL RSW RTZ SPTN SSH STV TBR UHZ VNDC VZ WADN YPB ZTM ZZS 
9,29,AHZ AMRN ASDM BKG CL DRH DVNK DZ DZW ED EHS EST GBR GO GZ LTV MZ NM OTB RHN RLB RTST UHM VH VP WC WM WR ZB 
10,19,AHPR BKF BRD EDC GDM HWD KLP KMA NMGO NMH NML O RD RVS VDM VST WF WWW ZA 
11,15,AHP BSD EEM EKZ GVM HMN MMLH NMD OBD OW SGN UTG WW ZBM ZWD 
12,8,ANA ATN CK HK LDM OP RS WTV 
13,7,AKL BMR BV DVN HDRZ KTR VSV 
14,5,GR HDR TL VLB ZV 
15,4,BHDV DID TPSW VRY 
16,3,BR GND WL 
17,5,DTCH HBZM HRT SDT VL 
18,4,DN DTC SDTB TG 
19,3,DDRS GDR RV 
20,3,DDR SM TBG 
21,4,DDZD RM RSD ZLW 
22,4,BGN EC STD ZVB 
23,9,GLN GS HRL KRG LUT MT ODB RB SRN 
24,10,ARN BK BZL HRLW KBD LG MDB MTN MTR SBK 
25,9,BDE EDN EGH EGHM MES SN VDL VS VSS 
26,4,CVM KMR NH SGL 
27,3,HB KRD SOG 
28,1,VK 
