hopcount,size,stations
1,2,CL HTN 
2,2,GDM UTLN 
3,4,BSD TPSW UTVR ZBM 
4,5,BNK HT LDM TL UT 
5,21,AKL AMF ASA ASB ASD DB DVD EHV GD GDG HTO KTR MAS O TB UTLR UTM UTO UTZL VG WD 
6,43,AMFS APD ASDM ASDZ ASHD ASS BD BDG BHV BKL BTL DMNZ DV ED GP GR GV GVC HLM HM HMBV HOR HVL HVSP KLP LLZM MRN NKK NS NWK OP RAI RS RTA RTD RVS SHL TBU UTT VB WADT WT ZL 
7,63,AC AH AML APDM APDO APN ASDL ASN ASSP AVAT BDPB BET BHDV BLL BNN CPS DL DLD DN DT DTCP DVC EDC ETN GVMW HAD HD HDE HFD HGV HMBH HMH HMN HN HNO HVS HWZB HZE KPNZ LAA MP OST OT OVN OW PMR PT RAT RM RTB RTN SDM TBR VNDW VTN WAD WC WF WV ZD ZLSH ZP ZTMO 
8,56,AHP AKM AMRI BL BNC BSK CAS DMN DR EC EHS EML GN GND GZ HLMS HNK HON HR HRN HRT HVSM KBK KPN KZ LC LDL LTN LW MZ NDB NVD NVP OMN OTB PMO RSW RTZ SM SPTZ STD STZ SWK TWL VD VNDC VZ WADN WH WZ YPB ZA ZDK ZTM ZV ZVT 
9,50,AHPR AMPO AMR BMN BN BNZ BR BSKS BSMZ DA DEI DID EST FN FWD GERP GLN GNN GO GW HBZM HDB HDG HKS HLO HRL LEDN LUT LWC MG MRB MT PMW RHN RL RLB RSN RTST RV SDT SKND SPTN SRN ST SWD VEM WP WTV ZH ZZS 
10,40,AHZ ALMM AMRN BDM BF BK BKG BP CO DDN DRH DRP DVN DVNK DWE GBG GK HLG HRLW KW LG LTV MTN MTR NM NML SBK SD SDA SDTB SK SSH VH VHP VL VP WDN WL WM WSM 
11,30,ALM BDE BKF BRN DDRS DLN DTCH EDN EGH EGHM EMNZ HGLG HIL HLGH HWD IJT KMA MES MTH NMGO NMH RH SN STM TG UST VDL VST WFM WS 
12,25,ALMB ALMO ALMP APG CVM DDR DTC EKZ EMN GVM HGL HGZ KMR LLS LP MMLH NH NMD NSCH OBD SGL SGN UHZ UTG WK 
13,22,ANA CK DDZD DRON DZ DZW ES ESK GDR HB HGLO HK HNP KRD ODZ RSD SOG UHM WR ZB ZLW ZWD 
14,13,BGN BMR BRD BV ESE HDRZ KMW LEER RD TBG VDM VK ZVB 
15,10,EEM GBR GS HDR KRG ODB RB STV VLB VSV 
16,6,ARN ATN BZL KBD MDB VRY 
17,3,VS VSS WW 
18,1,WWW 
