hopcount,size,stations
1,7,AMF ASD BRN DVD HVSM HVSP NDB 
2,19,AMFS AMPO APD ASA ASB ASDZ ASS BSMZ DV HLM HOR HVL NKK NS RAI SD UTO WP ZL 
3,37,AC ALMM AML APDM APDO ASDL ASHD ASN AVAT BHV BLL BNN DL DMN DMNZ DVC HAD HD HDE HGV HN HNO HWZB KPNZ MP OST OVN PMR PT RAT SHL ST UT WV ZD ZLSH ZP 
4,47,AKM ALM AMRI ASSP BL BMN BNC CAS DB EML GD GDG GN HFD HIL HLMS HNK HON HR HRN HT KBK KLP KPN KZ LC LEDN LW MAS NVD OMN PMO SPTZ STZ SWK TWL UTLR UTM UTVR UTZL VD VZ WD WH WZ ZDK ZVT 
5,55,ALMB ALMO ALMP AMR ASDM BDG BKL BN BNK BNZ DA DEI DLD DVNK EHV FN FWD GERP GNN GO GV GVC GW HDB HDG HKS HLO HTO LLS LLZM LWC MG MRB MRN NVP NWK O PMW RL RSN RTA RTD SKND SPTN SWD TB UTLN UTT VB VEM VG VH WADT ZH ZZS 
6,48,AMRN APN BD BDM BF BKG BP BTL CO CPS DDN DRH DRON DRP DT DTCP DWE GBG GK GP GVMW HLG HM HMBV HTN KW LAA LTN LTV RS RTB RTN RVS SDA SDM SK SSH TBU VHP VNDW VST VTN WAD WDN WM WSM WT ZTMO 
7,36,BDPB BET BKF BSK DLN DN EDC EMNZ ETN GVM HGLG HLGH HMBH HMH HTNC HWD HZE IJT KMA LDL MTH OT OW RM RSW RTZ STM TBR UST VNDC WADN WFM WS WWW YPB ZTM 
8,26,APG BSKS CL EC ED EHS EKZ EMN GZ HGL HGZ HRT LP MZ NSCH OBD RHN RLB RTST SGN SM STD UHZ UTG WK WW 
9,21,AH ANA BRD DZ DZW ES ESK GDM GLN HGLO HK HNP HRL LUT MT ODZ SRN UHM WF WR ZB 
10,25,AHP AHZ BK BSD BV DR ESE EST HDRZ HRLW KMW LEER LG MTN MTR NM OTB RD SBK TPSW VDM WC ZBM ZV ZWD 
11,19,AHPR BDE DID EDN EEM EGH EGHM GBR HDR LDM MES NMGO NMH NML SN STV TL VDL WTV 
12,11,AKL CVM DVN KMR KTR MMLH NH NMD SGL VP WL 
13,8,CK DTCH GR HB KRD OP RH SOG 
14,5,BHDV BMR DTC HMN VK 
15,4,GDR GND VLB ZA 
16,4,HBZM SDT TBG VRY 
17,3,BR SDTB VSV 
18,3,ATN DDRS VL 
19,2,DDR TG 
20,4,DDZD RSD RV ZLW 
21,2,BGN ZVB 
22,4,GS KRG ODB RB 
23,4,ARN BZL KBD MDB 
24,2,VS VSS 
