hopcount,size,stations
1,2,UTG WM 
2,3,CAS HK ZZS 
3,4,AMR BV HLO KZ 
4,3,AMRN DRH ZD 
5,5,ASS HN HWD SPTN ZDK 
6,9,ASD ASDL HNK HWZB OBD PMW SGN SHL SPTZ 
7,12,ALM ANA ASA ASB ASDM ASDZ BLL HFD HKS HVS PMR UT 
8,26,AC ALMB ALMO ALMP AMF ASHD ASSP BKG BRN DB DVD GDG HDRZ HLM HT HVSP KLP LLS MAS NVP PMO UTLR UTM UTO UTVR WD 
9,33,AMFS APD BHV BKF BKL BNK DMN DMNZ DRON DV EHV HAD HDR HGV HLMS HOR HTO HVL MRN NKK NS O OVN RAI SD SSH TB UTLN UTT UTZL VG WV ZL 
10,38,AML APDM APDO ASN AVAT BL BNN BTL DL DVC EKZ GP HD HDE HIL HM HMBV HNO HR HTN KPNZ LEDN LW MP OST PT RAT RS RVS ST TBU VNDW VTN WP WT ZLSH ZP ZVT 
11,48,AKM AMPO AMRI BET BMN BNC DEI DN DVNK EML FN FWD GN GV GVC GW HDG HMBH HMH HON HRN HTNC HZE KBK KPN LAA LC LDL LWC MG NDB NVD OMN OT OW RM SKND STZ SWK TBR TWL VD VH VNDC VZ WC WH WZ 
12,36,ALMM APN BN BNZ BP BSMZ CL DA DLD DRP DT DWE EC EHS GERP GNN GO GVMW GZ HDB HLG HRT MRB MZ RHN RL RSN SK SM STD SWD VB VEM VST ZH ZTM 
13,33,BDG BDM BF BR BSK CO DDN DTCP GBG GDM GK GLN GVM HLGH HRL HVSM IJT KW LTN LTV LUT MT RSW RTD RV SDA SDM SRN VHP WDN WSM YPB ZTMO 
14,28,BD BK BSD BSKS DDR DLN EDC EMNZ HGLG HRLW LG LLZM MTH MTN MTR RSD RTB RTN SBK STM TPSW UST VL WFM WK WS WWW ZBM 
15,27,APG BDE BGN DDRS DDZD ED EDN EGH EGHM EMN ETN HGL HGZ HNP LDM LP MES NSCH RTZ SN TG TL UHZ VDL WADN WW ZLW 
16,27,AH AKL BDPB CVM DZ DZW ES ESK GS HGLO KMR KMW KRG KTR NH ODZ RB RLB RTST SDTB SGL UHM WAD WF WR ZB ZVB 
17,25,AHP AHZ ARN BRD BZL DR ESE EST GR HB KBD KRD LEER MDB NM ODB OP OTB RD SDT SOG STV VDM WADT ZV 
18,15,AHPR BHDV DID EEM GBR GD HMN NMGO NMH NML VK VS VSS WTV ZWD 
19,9,DVN GND MMLH NMD NWK RTA VP WL ZA 
20,5,CK CPS DTCH HBZM RH 
21,2,BMR DTC 
22,2,GDR VLB 
23,2,TBG VRY 
24,1,VSV 
25,1,ATN 
