hopcount,size,stations
1,2,OP TL 
2,2,HMN TPSW 
3,2,GDM ZA 
4,4,BSD CL EST ZBM 
5,7,AH AHZ HT HTNC LDM NM NML 
6,15,AHP AKL DR ED EHV HTN HTO NMGO NMH O OTB TB VG WC ZV 
7,22,AHPR BD BMN BTL DID EDC GP GR HM HMBV KLP MMLH NMD OW RS RVS TBU UTLN WF WT WTV ZP 
8,21,APD BDPB BET BHDV CK DN DV DVN ETN HMBH HMH HZE LC LTN OT TBR UTVR VD VEM VP WL 
9,18,AML APDO BMR BNK BNZ DTCH DVC EHS GND GO GZ KBK MZ OST RH RL TWL UT 
10,26,AMF AMRI APDM ASA ASB ASD BNC DB DDN DTC DVD GD GDG HBZM HON LTV MAS SDT UTLR UTM UTO UTZL VLB VZ WD WH 
11,34,AMFS ASDM ASDZ ASHD ASS BDG BHV BKL BNN DA DMNZ GDR GV GVC HGLG HLM HOR HVL HVSP LLZM MRN NKK NS NWK RAI RSN RTA SDTB SHL UTT VB VRY WADT ZL 
12,41,AC APN ASDL ASN ASSP AVAT BLL BR CPS DDRS DL DLD GVMW HAD HD HDE HFD HGL HGV HN HNO HVS HWZB KPNZ LAA MP OVN PMR PT RAT TBG VHP VNDW VTN WAD WDN WV WZ ZD ZLSH ZTMO 
13,41,AKM BL BN BSK CAS DDR DMN DRON EML ES ESK GN HGLO HLMS HNK HR HRN HRT HVSM KPN KZ LDL LW MRB NDB NVD NVP ODZ OMN PMO SPTZ STZ SWK VL VNDC VSV WADN YPB ZDK ZTM ZVT 
14,35,AMPO AMR ATN BSKS BSMZ DDZD DEI ESE FN FWD GERP GNN GW HDB HDG HKS HLO LEDN LWC MG PMW RHN RSD RTB RTD SKND SPTN ST SWD TG WP ZH ZLW ZWD ZZS 
15,32,ALMM AMRN BDM BF BGN BKG BP BRD CO DRH DRP DT DTCP DVNK DWE GBG GBR GK HLG KW RTN RV SD SDA SDM SK SSH VH WM WSM WW ZVB 
16,24,ALM BKF BRN DLN EMNZ GS HIL HLGH HWD IJT KMA KRG MTH ODB RB RLB RSW SM STM UST VST WFM WS WWW 
17,23,ALMB ALMO ALMP APG ARN BZL EKZ EMN GVM HGZ KBD LLS LP MDB NSCH OBD RM RTST RTZ SGN UHZ UTG WK 
18,12,ANA DZ DZW EC HK HNP STD UHM VS VSS WR ZB 
19,11,BV GLN HDRZ HRL KMW LEER LUT MT RD SRN VDM 
20,9,BK EEM HDR HRLW LG MTN MTR SBK STV 
21,7,BDE EDN EGH EGHM MES SN VDL 
22,4,CVM KMR NH SGL 
23,3,HB KRD SOG 
24,1,VK 
