hopcount,size,stations
1,5,GV GVC GVM HFD LEDN 
2,12,ASD DT GD GVMW HAD LDL SHL SSH VB VH VST ZTM 
3,19,APN ASB ASDL ASDZ ASS DTCP DVNK GDG HIL HLM NVP NWK RSW RTD SDM UT WADT YPB ZTMO 
4,32,AH ALM AMF ASHD BD BDG BLL BSK DB DDR DVD ED HLMS HN HT KLP LLZM MAS OVN PMR RAI RSD RTA RTB RTN UTM UTO UTVR UTZL WAD WD ZD 
5,52,AC AHP AHZ ALMB ALMO ALMP AMFS APD ASA BGN BHV BKL BNK BSKS CPS DDRS DDZD DMNZ DR DV EDC EHV EST ETN GZ HNK HOR HTO HVL HVSP HWZB KZ LLS MRN NKK NM NS O PMO RTZ SPTZ TB UTLN VG VTN WADN WF ZDK ZL ZLW ZV ZVT 
6,55,AHPR AML APDM APDO ASDM ASN AVAT BDPB BMN BNN DID DL DLD DRON DVC GP GS HD HDE HGV HKS HM HMBV HNO HTN HVS KRG MP NMGO NMH NML OST OT OTB PMW PT RAT RB RLB RS RTST RVS SDTB SPTN TBR UTT VNDW WP WT WTV WV ZLSH ZP ZVB ZZS 
7,53,AKM AMPO AMRI ARN ASSP BKG BL BNC BRD BTL BZL DN DRH DVN EML GN HMBH HMH HON HR HRN HTNC HVSM HZE KBD KBK KPN KPNZ LC LW MDB MMLH NDB NMD NVD ODB OMN OW RM SDT STZ SWK TBU TWL UTLR VD VNDC VP VZ WC WH WL WZ 
8,43,ALMM BET BKF BN BNZ BSMZ BV CK CL DA DEI DMN DTCH EC FN FWD GERP GND GNN GO GW HBZM HDB HDG HRT LWC MG MRB MZ RH RHN RL RSN SKND SM ST STD SWD VEM VS VSS ZH ZWD 
9,33,BDM BF BHDV BMR BP BR CO DDN DRP DTC DWE EHS EKZ GBG GDM GK GLN HK HLG HRL KW LTN LTV LUT MT RV SD SDA SK SRN VHP WDN WSM 
10,24,BK BRN DLN EMNZ GDR GR HGLG HLGH HRLW IJT LG MTH MTN MTR SBK STM TPSW UST UTG VL VLB WFM WS ZBM 
11,22,AKL APG BDE CAS EDN EGH EGHM EMN HGL HGZ KMA LP MES NSCH SN TBG TG TL UHZ VDL VRY WK 
12,20,AMR CVM DZ DZW ES ESK HGLO HLO HNP KMR KTR LDM NH ODZ SGL UHM VSV WM WR ZB 
13,12,AMRN ATN BSD ESE HB KMW KRD LEER OP RD SOG VDM 
14,7,EEM GBR HMN HWD STV VK WW 
15,4,OBD SGN WWW ZA 
16,1,ANA 
17,1,HDRZ 
18,1,HDR 
