hopcount,size,stations
1,2,APN LEDN 
2,12,ASD BDG BSK DVNK GV GVC HAD HFD LAA SHL SSH VH 
3,14,ASB ASDL ASDZ ASS BSKS DT GVMW HIL HLM NVP VB VST WD ZTM 
4,22,ALM AMF ASHD BKL BLL DTCP DVD GVM HLMS HN OVN PMR RAI RSW RTD SDM UT VTN WADN YPB ZD ZTMO 
5,39,AC AH ALMB ALMO ALMP AMFS APD ASA BD DB DDR DMNZ DV ED HNK HT HVL HWZB KLP KZ LLS LLZM MAS NKK NS PMO RSD RTB RTN SPTZ UTM UTO UTT UTVR UTZL WAD ZDK ZL ZVT 
6,54,AHP AHZ AML APDM APDO ASDM ASN AVAT BGN BHV BNK BNN DDRS DDZD DL DR DRON DVC EDC EHV EST ETN GZ HD HDE HGV HKS HNO HOR HTO HVSP MP MRN NM O OST PMW PT RAT RTZ SPTN TB UTLN UTLR VG WADT WF WP WV ZLSH ZLW ZP ZV ZZS 
7,57,AHPR AKM AMPO AMRI ASSP BDPB BKG BL BMN BNC BTL DID DLD DRH EML GD GN GP GS HM HMBV HON HR HRN HTN HVS KBK KPN KPNZ KRG LC LW NDB NMGO NMH NML NVD OMN OT OTB RB RLB RS RTST RVS SDTB SWK TBR TWL VD VNDW VZ WH WT WTV WZ ZVB 
8,54,ALMM ARN BET BKF BN BNZ BRD BSMZ BV BZL DA DEI DMN DN DVN FN FWD GDG GERP GNN GO GW HDB HDG HMBH HMH HTNC HVSM HZE KBD LWC MDB MG MMLH MRB NMD NWK ODB OW RL RM RSN RTA SDT SKND STZ SWD TBU VEM VNDC VP WC WL ZH 
9,38,BDM BF BP CK CL CO CPS DDN DRP DTCH DWE EC EHS EKZ GBG GK GND HBZM HK HLG HRT KW LTN LTV MZ RH RHN SDA SK SM ST STD VHP VS VSS WDN WSM ZWD 
10,23,BHDV BMR BR DLN DTC EMNZ GDM GLN HGLG HLGH HRL IJT LUT MT MTH RV SD SRN STM UST UTG WFM WS 
11,24,APG BK BRN BSD CAS EMN GDR GR HGL HGZ HRLW KMA LG LP MTN MTR NSCH SBK TPSW UHZ VL VLB WK ZBM 
12,26,AKL AMR BDE DZ DZW EDN EGH EGHM ES ESK HGLO HLO HNP LDM MES ODZ SN TBG TG TL UHM VDL VRY WM WR ZB 
13,12,AMRN CVM ESE KMR KMW KTR LEER NH RD SGL VDM VSV 
14,9,ATN EEM GBR HB HWD KRD OP SOG STV 
15,5,HMN OBD SGN VK WW 
16,3,ANA WWW ZA 
17,1,HDRZ 
18,1,HDR 
