hopcount,size,stations
1,2,BNZ EDC 
2,2,BNC ED 
3,5,AH BNN DB KLP WF 
4,11,AHP AHZ BNK DR EST HVL MRN NM OTB WC ZV 
5,14,AHPR AMF BMN DID NMGO NMH NML O RVS UTVR VNDW WTV ZA ZP 
6,24,AMFS APD BRN DLD DV DVN HMN HT HVS LC MMLH NKK NMD NS OW UT UTLN VD VEM VNDC VP WD WL ZL 
7,47,AML APDM APDO ASD ASN AVAT BDG BHV CK DL DTCH DVC DVD EHV GD GDG GO HD HDE HGV HNO HTN HVSM HVSP KBK KPNZ MAS MP NDB OP OST PT RAT RH RHN RL RS SD STZ TB TWL UTLR UTM UTZL VG WV ZLSH 
8,52,AKM AMPO AMRI APN ASA ASB ASDZ ASS BD BKL BL BMR BSMZ BTL DDN DTC EML GN GP GV GVC HLM HM HMBV HON HOR HR HRN HTNC HTO KPN KTR LLZM LTV LW NWK OMN RAI RTA RTD ST SWK TBU UTO UTT VB VZ WADT WH WP WT WZ 
9,57,AC ALMM ASDL ASHD BDPB BET BLL BSK CL CPS DA DEI DMN DMNZ DT DTCP ETN FN FWD GDR GERP GNN GVMW GW HAD HDB HDG HGLG HMBH HMH HN HWZB HZE LAA LDL LWC MG MRB OT OVN PMR RSD RSN RTB RTN SDM SHL SKND SWD TBR TL VLB VTN WAD ZD ZH ZTMO 
10,43,ALM ASSP BDM BF BGN BP BSKS CAS CO DRP DWE EHS GBG GDM GK GZ HFD HGL HIL HLG HLMS HNK KW KZ LEDN MZ PMO RSW RTZ SDA SK SPTZ TBG TPSW VHP VRY WADN WDN WSM YPB ZDK ZTM ZVT 
11,38,ALMB ALMO ALMP AMR ASDM BN BR BSD DLN DVNK EMNZ ES ESK GS HGLO HKS HLGH HLO IJT KRG LLS MTH NVD NVP ODZ PMW RB RLB RTST SPTN STM UST VH VSV WFM WS ZBM ZZS 
12,24,AMRN APG ARN ATN BKG BRD BZL DRH DRON EMN ESE HGZ HRT KBD LDM LP MDB NSCH SSH UHZ VL VST WK WM 
13,18,AKL BKF DN DZ DZW GBR GVM HNP HWD KMA TG UHM VS VSS WR WW ZB ZWD 
14,11,EKZ GR KMW LEER OBD RD RV SGN UTG VDM WWW 
15,6,ANA BHDV EEM HK SM STV 
16,4,BV GND HDRZ RM 
17,5,EC HBZM HDR SDT STD 
18,6,GLN HRL LUT MT SDTB SRN 
19,7,BK DDRS HRLW LG MTN MTR SBK 
20,8,BDE DDR EDN EGH EGHM MES SN VDL 
21,6,CVM DDZD KMR NH SGL ZLW 
22,4,HB KRD SOG ZVB 
23,2,ODB VK 
