hopcount,size,stations
1,2,MTN SGL 
2,2,MT VK 
3,4,BDE MTR SOG STD 
4,6,BK EDN GLN KMR RM SRN 
5,5,EC LUT SM VDL WT 
6,4,EHV HRLW MZ RV 
7,8,BD EHS HMBV HRL HT HZE TB TG 
8,15,BDPB BET DDR ETN GP HB HTO LG O RSD RTD TBU UT VL ZBM 
9,32,AMF ASA ASB ASD BGN BR BTL DDRS DT DTCP DVD EGH EGHM GD GDG GDM MAS NH ODB RS RTA RTB RTN SDM TBR UTLR UTM UTO UTZL WD ZLW ZWD 
10,41,AMFS ASDM ASDZ ASHD ASS BDG BHV BKL BRD BSD CL CPS CVM DDZD DMNZ GS GV GZ HLM HOR HRT HVSP KRG LLZM NKK NS NWK OT OW RAI RB RSW SDTB SHL SN TPSW UTT VG VRY WADT ZVB 
11,35,AC APN ARN ASDL ASSP AVAT BLL BZL DLD DN GVC GVMW HAD HD HFD HN HTNC HVS HWZB KBD KRD LAA LDM MDB OVN PMR PT RLB SBK TL VLB VTN WAD ZD ZTMO 
12,30,AKL BMR BSK CAS DMN EML GVM HLMS HM HMBH HNK HTN HVSM KZ LDL NDB NVP PMO RTST RTZ SPTZ STZ VB VS VSS WADN YPB ZDK ZTM ZVT 
13,16,AMPO AMR BSKS BSMZ CK GR HKS HLO HMH LEDN PMW SPTN ST UTLN WP ZZS 
14,12,ALMM AMRN BHDV BKG DRH DVNK MMLH SD SSH UTVR VH WM 
15,10,ALM BKF BNK BRN GND HIL HWD KMA NMH VST 
16,12,ALMB ALMO ALMP DB EKZ HBZM LLS NM OBD SDT SGN UTG 
17,8,AH ANA EST HK MRN NMGO NML WC 
18,12,AHP AHZ BV DR ED HDRZ NMD OTB RVS VNDW ZA ZV 
19,11,AHPR BMN DID EDC HDR HMN KLP VNDC WF WTV ZP 
20,11,APD DV DVN LC LTN OP RHN VD VEM VP WL 
21,12,AML APDO BNZ DTCH DVC GO KBK KTR OST RH RL TWL 
22,9,AMRI APDM BNC DDN DTC HON LTV VZ WH 
23,6,BNN DA GDR HGLG RSN ZL 
24,15,ASN DL HGL HGV HNO HVL KPNZ MP RAT TBG VHP WDN WV WZ ZLSH 
25,19,AKM BL BN DRON ES ESK GN HDE HGLO HR HRN KPN LW MRB NVD ODZ OMN SWK VSV 
26,15,ATN DEI ESE FN FWD GERP GNN GW HDB HDG LWC MG SKND SWD ZH 
27,15,BDM BF BP CO DRP DWE GBG GBR GK HLG KW SDA SK WSM WW 
28,10,DLN EMNZ HLGH IJT MTH STM UST WFM WS WWW 
29,7,APG EMN HGZ LP NSCH UHZ WK 
30,6,DZ DZW HNP UHM WR ZB 
31,4,KMW LEER RD VDM 
32,2,EEM STV 
