hopcount,size,stations
1,2,CK NMH 
2,2,BMR NM 
3,7,AH EST NMGO NML O VLB WC 
4,13,AHP AHZ DR ED HT NMD OTB OW RVS UT VRY ZA ZV 
5,27,AHPR ASA ASB BMN BR DB DID DVD EDC EHV GD GDG HMN KLP MAS RS TB UTLR UTM UTO UTZL VG WD WF WTV ZBM ZP 
6,34,APD ASDZ ASHD BD BDG BKL BNK BTL DV DVN GP GV GVC HOR HRT HTO LC LLZM LTN MRN NWK OP RAI RTA SHL TBU UTT VB VD VEM VL VP WADT WL 
7,32,AC AML APDO APN BDPB BET BNZ CPS DN DTCH DVC ETN GO GVMW HFD HZE KBK KTR LAA OST OT RH RL RSD TBR TG TWL UTVR VNDW VTN WAD ZTMO 
8,27,AMRI APDM BGN BNC BSK DDN DTC EHS GZ HM HMBH HON LDL LTV MZ NVP ODB RSW RV TL VNDC VZ WADN WH YPB ZLW ZTM 
9,16,BNN BSKS DA GDR GS HGLG HMH KRG LEDN RB RHN RSN SM TPSW ZL ZVB 
10,25,ARN ASN BZL DL DVNK GDM HGL HGV HMBV HNO HVL KBD KPNZ MDB MP RAT RM SSH TBG VH VHP WDN WV WZ ZLSH 
11,29,AKM AMF BL BN BSD CL DRON EC ES ESK GN HDE HGLO HIL HR HRN KPN LW MRB NVD ODZ OMN STD SWK VS VSS VST VSV WT 
12,29,AMFS ATN BRN DEI DLD ESE FN FWD GERP GLN GNN GVM GW HDB HDG HRL HTNC HVS LDM LUT LWC MG MT NKK NS SKND SRN SWD ZH 
13,33,AKL ASD AVAT BDM BF BHV BK BP CO DRP DWE GBG GBR GK HD HLG HRLW HTN HVSM HVSP KW LG MTN MTR NDB PT SBK SD SDA SK STZ WSM WW 
14,26,AMPO ASS BDE BSMZ DLN EDN EGH EGHM EML EMNZ GR HLGH HLM IJT MES MTH SN ST STM UST UTLN VDL WFM WP WS WWW 
15,23,ALMM APG ASDL BHDV BLL CVM DMN DMNZ EMN HAD HGZ HN HWZB KMR LP NH NSCH OVN PMR SGL UHZ WK ZD 
16,20,ALM ASSP CAS DZ DZW GND HB HLMS HNK HNP KRD KZ PMO SOG SPTZ UHM WR ZB ZDK ZVT 
17,18,ALMB ALMO ALMP AMR ASDM HBZM HKS HLO KMW LEER LLS PMW RD SDT SPTN VDM VK ZZS 
18,7,AMRN BKG DRH EEM SDTB STV WM 
19,4,BKF DDRS HWD KMA 
20,5,DDR EKZ OBD SGN UTG 
21,6,ANA DDZD HK RTB RTD ZWD 
22,7,BRD BV DT DTCP HDRZ RTN SDM 
23,2,HDR RLB 
24,2,RTST RTZ 
