hopcount,size,stations
1,2,MMLH NM 
2,7,AH CK EST NMGO NML O WC 
3,13,AHP AHZ BMR DR ED HT NMD OTB OW RVS UT ZA ZV 
4,27,AHPR ASA ASB BMN DB DID DVD EDC EHV GD GDG HMN KLP MAS RS TB UTLR UTM UTO UTZL VG VLB WD WF WTV ZBM ZP 
5,36,APD ASDZ ASHD BD BDG BKL BNK BTL DV DVN GP GV GVC HM HMBV HOR HTO LC LLZM LTN MRN NWK OP RAI RTA SHL TBU UTT VB VD VEM VP VRY WADT WL WT 
6,33,AC AML APDO APN BDPB BET BNZ BR CPS DTCH DVC ETN GO GVMW HFD HMBH HMH HZE KBK KTR LAA OST OT RH RL RSD TBR TWL UTVR VNDW VTN WAD ZTMO 
7,26,AMRI APDM BGN BNC BSK DDN DTC EHS GZ HON HRT LDL LTV MZ NVP ODB RSW TL VL VNDC VZ WADN WH YPB ZLW ZTM 
8,16,BNN BSKS DA DN GDR GS HGLG KRG LEDN RB RHN RSN TG TPSW ZL ZVB 
9,24,ARN ASN BZL DL DVNK GDM HGL HGV HNO HVL KBD KPNZ MDB MP RAT RV SSH TBG VH VHP WDN WV WZ ZLSH 
10,27,AKM AMF BL BN BSD CL DRON ES ESK GN HDE HGLO HIL HR HRN KPN LW MRB NVD ODZ OMN SM SWK VS VSS VST VSV 
11,25,AMFS ATN BRN DEI DLD ESE FN FWD GERP GNN GVM GW HDB HDG HTNC HVS LDM LWC MG NKK NS RM SKND SWD ZH 
12,29,AKL ASD AVAT BDM BF BHV BP CO DRP DWE EC GBG GBR GK HD HLG HTN HVSM HVSP KW NDB PT SD SDA SK STD STZ WSM WW 
13,24,AMPO ASS BSMZ DLN EML EMNZ GLN GR HLGH HLM HRL IJT LUT MT MTH SRN ST STM UST UTLN WFM WP WS WWW 
14,25,ALMM APG ASDL BHDV BK BLL DMN DMNZ EMN HAD HGZ HN HRLW HWZB LG LP MTN MTR NSCH OVN PMR SBK UHZ WK ZD 
15,24,ALM ASSP BDE CAS DZ DZW EDN EGH EGHM GND HLMS HNK HNP KZ MES PMO SN SPTZ UHM VDL WR ZB ZDK ZVT 
16,21,ALMB ALMO ALMP AMR ASDM CVM HBZM HKS HLO KMR KMW LEER LLS NH PMW RD SDT SGL SPTN VDM ZZS 
17,10,AMRN BKG DRH EEM HB KRD SDTB SOG STV WM 
18,5,BKF DDRS HWD KMA VK 
19,5,DDR EKZ OBD SGN UTG 
20,6,ANA DDZD HK RTB RTD ZWD 
21,7,BRD BV DT DTCP HDRZ RTN SDM 
22,2,HDR RLB 
23,2,RTST RTZ 
