hopcount,size,stations
1,2,HGL HGLO 
2,5,AML BN ES ESK HGLG 
3,7,AMRI DDN DV ESE NVD VZ WDN 
4,7,DA GBR GO OST RAT RSN TWL 
5,7,APDO HNO HON LC VHP WH ZL 
6,14,ALMO ASN DVC HD HGV KPNZ LLS MP MRB NS WV WZ ZLSH ZP 
7,21,AKM ALM ALMB APD BL BMN DR DRON EML GN HDB HDE HR HRN KPN LW NKK OMN SWK VD VEM 
8,23,AH ALMM ALMP AMF CO DEI DL FN FWD GBG GERP GNN GW HDG KBK LWC MG PT RH RL SKND SWD ZH 
9,30,AHZ AMFS AMPO APDM BDM BF BP BRN DLD DLN DRP DWE ED EMNZ EST GK HLG HVL HVS KW LTV NM OTB SDA SK UT VP WC WD WSM 
10,37,AHPR ASD AVAT BDG BHV DB DVD EDC EMN GD GDG HLGH HVSM HVSP IJT KLP MAS MTH NDB NMGO NMH NML O RVS SD STM STZ UST UTLR UTM UTVR UTZL WF WFM WS WWW ZA 
11,39,AHP APG APN ASA ASB ASDZ ASS BKL BNK BSMZ GV GVC HGZ HLM HMN HOR HT LLZM LP LTN MMLH MRN NMD NSCH NWK OW RAI RTA RTD ST UHZ UTLN UTO UTT VB WADT WK WP WW 
12,43,AC ASDL ASHD ATN BLL BNZ BSK CK CPS DMN DMNZ DT DTCP DZ DZW EHV GVMW HAD HN HNP HTN HWZB LAA LDL OP OVN PMR RS RTB RTN SDM SHL TB UHM VG VNDW VTN WAD WR WTV ZB ZD ZTMO 
13,37,ASSP BD BMR BNC BSKS BTL CAS DVN GP HFD HIL HLMS HM HMBV HNK HTNC HTO KMW KTR KZ LEDN LEER PMO RD RSW RTZ SPTZ TBU VDM VNDC VSV WADN WT YPB ZDK ZTM ZVT 
14,28,AMR ASDM BDPB BET BNN DVNK EEM ETN HKS HLO HMBH HMH HZE NVP OT PMW RHN RLB RSD RTST SPTN STV TBR TL VH VLB ZV ZZS 
15,15,AMRN BGN BKG DID DRH EHS GZ MZ ODB SSH TPSW VRY VST WM ZLW 
16,11,BKF BR GDM GS GVM HWD KMA KRG RB WL ZVB 
17,14,ARN BSD BZL CL DTCH EKZ HRT KBD MDB OBD SGN UTG VL ZBM 
18,8,ANA DN DTC HK LDM TG VS VSS 
19,5,AKL BV GDR HDRZ RV 
20,4,GR HDR SM TBG 
21,2,BHDV RM 
22,3,EC GND STD 
23,7,GLN HBZM HRL LUT MT SDT SRN 
24,7,BK HRLW LG MTN MTR SBK SDTB 
25,8,BDE DDRS EDN EGH EGHM MES SN VDL 
26,5,CVM DDR KMR NH SGL 
27,5,DDZD HB KRD SOG ZWD 
28,2,BRD VK 
