hopcount,size,stations
1,2,HMN KTR 
2,2,TL ZA 
3,2,EST TPSW 
4,5,AH AHZ GDM NM NML 
5,12,AHP BSD CL DR ED NMGO NMH O OTB WC ZBM ZV 
6,15,AHPR BMN DID EDC HT HTNC KLP LDM MMLH NMD OW RVS WF WTV ZP 
7,16,AKL APD CK DV DVN EHV HTN HTO LC LTN TB VD VEM VG VP WL 
8,22,AML APDO BD BMR BNZ BTL DTCH DVC GO GP GR HM HMBV KBK OST RH RL RS TBU TWL UTLN WT 
9,21,AMRI APDM BDPB BET BHDV BNC DDN DN DTC ETN HMBH HMH HON HZE LTV OT TBR UTVR VLB VZ WH 
10,13,BNK BNN DA EHS GDR GND GZ HGLG MZ RSN UT VRY ZL 
11,32,AMF ASA ASB ASD ASN BR DB DL DVD GD GDG HBZM HGL HGV HNO HVL KPNZ MAS MP RAT SDT TBG UTLR UTM UTO UTZL VHP WD WDN WV WZ ZLSH 
12,47,AKM AMFS ASDM ASDZ ASHD ASS BDG BHV BKL BL BN DMNZ DRON ES ESK GN GV GVC HDE HGLO HLM HOR HR HRN HRT HVSP KPN LLZM LW MRB MRN NKK NS NVD NWK ODZ OMN RAI RTA SDTB SHL SWK UTT VB VL VSV WADT 
13,41,AC APN ASDL ASSP ATN AVAT BLL CPS DDRS DEI DLD ESE FN FWD GERP GNN GVMW GW HAD HD HDB HDG HFD HN HVS HWZB LAA LWC MG OVN PMR PT SKND SWD TG VNDW VTN WAD ZD ZH ZTMO 
14,37,BDM BF BP BSK CAS CO DDR DMN DRP DWE EML GBG GBR GK HLG HLMS HNK HVSM KW KZ LDL NDB NVP PMO RV SDA SK SPTZ STZ VNDC WADN WSM WW YPB ZDK ZTM ZVT 
15,30,AMPO AMR BSKS BSMZ DDZD DLN EMNZ HKS HLGH HLO IJT LEDN MTH PMW RHN RSD RTB RTD SM SPTN ST STM UST WFM WP WS WWW ZLW ZWD ZZS 
16,24,ALMM AMRN APG BGN BKG BRD DRH DT DTCP DVNK EMN HGZ LP NSCH RM RTN SD SDM SSH UHZ VH WK WM ZVB 
17,21,ALM BKF BRN DZ DZW EC GS HIL HNP HWD KMA KRG ODB RB RLB RSW STD UHM VST WR ZB 
18,24,ALMB ALMO ALMP ARN BZL EKZ GLN GVM HRL KBD KMW LEER LLS LUT MDB MT OBD RD RTST RTZ SGN SRN UTG VDM 
19,12,ANA BK EEM HK HRLW LG MTN MTR SBK STV VS VSS 
20,9,BDE BV EDN EGH EGHM HDRZ MES SN VDL 
21,5,CVM HDR KMR NH SGL 
22,3,HB KRD SOG 
23,1,VK 
