hopcount,size,stations
1,2,LTV VD 
2,2,WWW ZP 
3,7,APD BMN DR DV LC VEM WW 
4,11,AH AMF AML APDO ATN DVC GO KBK OST RH TWL 
5,22,AHZ AMFS AMRI APDM BRN DDN DLD ED EST HON HVL HVS NKK NM OTB UT VP VSV VZ WC WD WH 
6,34,AHPR ASD AVAT BDG BHV DA DB DVD EDC GD GDG HGLG HVSM HVSP KLP MAS NDB NMGO NMH NML O PT RSN RVS SD STZ TBG UTLR UTM UTVR UTZL WF ZA ZL 
7,51,AHP AMPO APN ASA ASB ASDZ ASN ASS BKL BNK BSMZ DL EML GDR GV GVC HD HGL HGV HLM HMN HNO HOR HT KPNZ LLS LLZM LTN MMLH MP MRN NMD NS NWK OW RAI RAT RTA RTD ST UTLN UTO UTT VB VHP WADT WDN WP WV WZ ZLSH 
8,56,AC AKM ALMM ASDL ASHD BL BLL BN BNZ BSK CK CPS DMN DMNZ DRON DT DTC DTCP EHV ES ESK GN GVMW HAD HDE HGLO HN HR HRN HTN HWZB KPN LAA LDL LW MRB NVD ODZ OMN OP OVN PMR RS RTB RTN SDM SHL SWK TB VG VNDW VTN WAD WTV ZD ZTMO 
9,48,ALM ASSP BD BMR BNC BSKS BTL CAS DEI DTCH DVN ESE FN FWD GERP GNN GP GW HDB HDG HFD HIL HLMS HM HMBV HNK HTNC HTO KTR KZ LEDN LWC MG PMO RSW RTZ SKND SPTZ SWD TBU VNDC WADN WT YPB ZDK ZH ZTM ZVT 
10,44,ALMB ALMO ALMP AMR ASDM BDM BDPB BET BF BNN BP CO DRP DVNK DWE ETN GBG GBR GK HKS HLG HLO HMBH HMH HZE KW NVP OT PMW RHN RLB RSD RTST SDA SK SPTN TBR TL VH VLB WL WSM ZV ZZS 
11,24,AMRN BGN BKG DID DLN DRH EHS EMNZ GZ HLGH IJT MTH MZ ODB SSH STM TPSW UST VRY VST WFM WM WS ZLW 
12,17,APG BKF BR EMN GDM GS GVM HGZ HWD KMA KRG LP NSCH RB UHZ WK ZVB 
13,19,ARN BSD BZL CL DZ DZW EKZ HNP HRT KBD MDB OBD SGN UHM UTG VL WR ZB ZBM 
14,11,ANA DN HK KMW LDM LEER RD TG VDM VS VSS 
15,6,AKL BV EEM HDRZ RV STV 
16,3,GR HDR SM 
17,2,BHDV RM 
18,3,EC GND STD 
19,7,GLN HBZM HRL LUT MT SDT SRN 
20,7,BK HRLW LG MTN MTR SBK SDTB 
21,8,BDE DDRS EDN EGH EGHM MES SN VDL 
22,5,CVM DDR KMR NH SGL 
23,5,DDZD HB KRD SOG ZWD 
24,2,BRD VK 
