hopcount,size,stations
1,11,BD DDR DT DTCP GD RSD RTA RTB RTN SDM SHL 
2,21,ASB ASD ASDL ASDZ ASS BGN CPS DDRS DDZD EHV ETN GDG GV GZ LLZM RSW RTZ TB UT WADT ZLW 
3,37,AH AMF ASHD BDPB DB DVD ED GP GS GVC GVMW HM HMBV HN KLP KRG LAA LEDN MAS NWK OT PMR RAI RB RLB RTST SDTB TBR UTM UTO UTVR UTZL WAD WD WT ZD ZVB 
4,49,AHP AMFS APD ARN ASA BHV BKL BNK BRD BTL BZL DMNZ DN DR DV EDC GVM HAD HFD HMBH HMH HNK HOR HVL HVSP HZE KBD KZ LDL MDB MRN NKK NS ODB PMO RM SDT SSH TBU UTLN VB VH VTN WADN WF ZDK ZL ZTM ZV 
5,53,AC AHPR AML APDM APDO ASDM ASN AVAT BET BMN BNN BSKS DID DL DLD DVC EC GND HBZM HD HDE HGV HIL HKS HLM HNO HRT HTN HVS KPNZ MP MZ NVP OST OTB PMW PT RAT SM STD UTT VNDW VS VSS VST WTV WV YPB ZLSH ZP ZTMO ZWD ZZS 
6,46,AKM AMRI ASSP BHDV BKG BL BLL BNC BR BSK DVN DVNK EHS EML GLN GN HLMS HON HR HRL HRN HTNC HVSM KBK KPN LC LUT LW MT NDB NVD OMN OVN RV SRN STZ SWK TWL UTLR VD VNDC VP VZ WH WL WZ 
7,43,AMPO APN BK BKF BN BNZ BSMZ CL DA DEI DMN DTCH FN FWD GERP GNN GO GR GW HDB HDG HRLW HWZB LG LWC MG MRB MTN MTR RH RHN RL RSN SBK SKND SPTZ ST SWD VEM VL WP ZH ZVT 
8,33,AKL ALMM BDE BDG BDM BF BP CO DDN DRP DTC DWE EDN EGH EGHM EKZ GBG GK HLG KW LTN LTV MES SD SDA SK SN SPTN TG VDL VHP WDN WSM 
9,19,ALM BRN CVM DLN DRH EMNZ GDR HGLG HLGH IJT KMR LDM MTH NH SGL STM UST WFM WS 
10,18,ALMB ALMO ALMP APG BSD BV EMN HB HGL HGZ KRD LLS LP NSCH SOG TBG UHZ WK 
11,15,DRON DZ DZW ES ESK GDM HGLO HK HNP ODZ UHM VK VSV WR ZB 
12,9,ATN ESE KMW LEER RD TPSW UTG VDM ZBM 
13,8,CAS EEM GBR HT KMA STV TL WW 
14,8,AMR HLO HTO KTR O VG WM WWW 
15,4,AMRN OP RS RVS 
16,4,HMN HWD OW WC 
17,3,OBD SGN ZA 
18,2,ANA EST 
19,4,AHZ HDRZ NM NML 
20,3,HDR NMGO NMH 
21,2,MMLH NMD 
22,1,CK 
23,1,BMR 
24,1,VLB 
25,1,VRY 
