hopcount,size,stations
1,2,SM TG 
2,2,RM VL 
3,4,BR EC STD WT 
4,9,EHV GLN HRL HRT LUT MT MZ SRN VRY 
5,13,BD BK DN EHS HRLW HT HZE LG MTN MTR SBK TB VLB 
6,21,BDE BDPB BET BMR DDR EDN EGH EGHM ETN GP HM HMBH HTO MES RSD RTD SN TBU UT VDL ZBM 
7,33,ASA ASB ASD BGN BTL CK CVM DDRS DT DTCP DVD GD GDG GDM HMH KMR MAS NH ODB RS RTA RTB RTN SDM SGL TBR UTLR UTM UTO UTZL WD ZLW ZWD 
8,37,ASDM ASDZ ASHD ASS BDG BHV BKL BRD BSD CL CPS DDZD DMNZ GS GV GZ HB HLM HMBV HOR HVSP KRD KRG LLZM MMLH NWK OT RAI RB RSW SDTB SHL SOG UTT VG WADT ZVB 
9,27,AC APN ARN ASDL ASSP BLL BZL GVC GVMW HAD HFD HN HTNC HWZB KBD LAA LDM MDB NMH OVN PMR RLB VK VTN WAD ZD ZTMO 
10,24,AKL BSK CAS DMN GVM HLMS HNK HTN KZ LDL NM NVP PMO RTST RTZ SPTZ VB VS VSS WADN YPB ZDK ZTM ZVT 
11,16,AH AMR BSKS EST GR HKS HLO LEDN NMGO NML O PMW SPTN UTLN WC ZZS 
12,19,AHP AHZ AMRN BHDV BKG DR DRH DVNK ED NMD OTB OW RVS SSH UTVR VH WM ZA ZV 
13,16,AHPR BKF BMN DB DID EDC GND HIL HMN HWD KLP KMA VST WF WTV ZP 
14,18,APD BNK DV DVN EKZ HBZM LC LTN MRN OBD OP SDT SGN UTG VD VEM VP WL 
15,15,AML ANA APDO BNZ DTCH DVC GO HK KBK KTR OST RH RL TWL VNDW 
16,13,AMRI APDM BNC BV DDN DTC HDRZ HON LTV TL VNDC VZ WH 
17,9,BNN DA GDR HDR HGLG RHN RSN TPSW ZL 
18,15,ASN DL HGL HGV HNO HVL KPNZ MP RAT TBG VHP WDN WV WZ ZLSH 
19,20,AKM AMF BL BN DRON ES ESK GN HDE HGLO HR HRN KPN LW MRB NVD ODZ OMN SWK VSV 
20,21,AMFS ATN BRN DEI DLD ESE FN FWD GERP GNN GW HDB HDG HVS LWC MG NKK NS SKND SWD ZH 
21,22,AVAT BDM BF BP CO DRP DWE GBG GBR GK HD HLG HVSM KW NDB PT SD SDA SK STZ WSM WW 
22,15,AMPO BSMZ DLN EML EMNZ HLGH IJT MTH ST STM UST WFM WP WS WWW 
23,8,ALMM APG EMN HGZ LP NSCH UHZ WK 
24,7,ALM DZ DZW HNP UHM WR ZB 
25,8,ALMB ALMO ALMP KMW LEER LLS RD VDM 
26,2,EEM STV 
