hopcount,size,stations
1,3,GND HBZM SDTB 
2,2,BHDV DDRS 
3,2,DDR GR 
4,8,AKL BD DDZD RSD RTB RTD ZLW ZWD 
5,15,BDPB BGN BRD DT DTCP ETN GD GZ LDM RTA RTN SDM SHL TB ZVB 
6,15,ASDL BSD CPS GDG GS GV KRG LLZM ODB OT RB RLB RSW TBR WADT 
7,15,ARN BZL GDM GVC GVMW KBD LAA LEDN MDB NWK RTST RTZ TBU WAD WD 
8,14,CL GVM HAD HFD LDL SSH TPSW VB VH VS VSS WADN ZBM ZTM 
9,10,BSKS HIL HLM HT HTNC NVP TL VST YPB ZTMO 
10,11,BLL BSK DVNK EHV HLMS HTN HTO KTR O OVN VG 
11,13,APN BTL GP HM HMBV HWZB OP RS RVS SPTZ UTLN WT ZVT 
12,12,BDG BET DN HMBH HMH HMN HZE OW RM SPTN UTVR WC 
13,10,BNK DRH EC EHS HRT MZ SM STD UT ZA 
14,20,AMF ASA ASB ASD BR BV DB DVD EST GLN HRL LUT MAS MT RV SRN UTLR UTM UTO UTZL 
15,32,AH AHZ AMFS APD ASDM ASDZ ASHD ASS BHV BK BKL DMNZ ED HK HOR HRLW HVL HVSP KLP LG MRN MTN MTR NKK NM NML NS RAI SBK UTT VL ZL 
16,41,AC AHP APDM APDO ASN ASSP AVAT BDE BNN DL DLD DR EDC EDN EGH EGHM HD HDE HGV HN HNO HVS KPNZ MES MP NMGO NMH OTB PMR PT RAT SN TG UTG VDL VNDW VTN WV ZD ZLSH ZV 
17,37,AHPR AKM BL BMN BNC CAS CVM DID DMN EML GN HNK HR HRN HVSM KMA KMR KPN KZ LTN LW MMLH NDB NH NMD OMN PMO SGL STZ SWK TWL VNDC WF WTV WZ ZDK ZP 
18,36,AMPO AMR BNZ BSMZ CK DEI DV DVN FN FWD GERP GNN GW HB HDB HDG HKS HLO KRD LC LWC MG MRB PMW RHN SKND SOG ST SWD VD VEM VP WL WP ZH ZZS 
19,29,ALMM AML AMRN BDM BF BKG BMR BP CO DRP DTCH DVC DWE GBG GK GO HLG KBK KW OST RH RL SD SDA SK VHP VK WM WSM 
20,21,ALM AMRI BKF BRN DDN DLN DTC EMNZ HLGH HON HWD IJT LTV MTH STM UST VLB VZ WFM WH WS 
21,19,ALMB ALMO ALMP APG DA EKZ EMN GDR HGLG HGZ LLS LP NSCH OBD RSN SGN UHZ VRY WK 
22,11,ANA DRON DZ DZW HGL HNP TBG UHM WDN WR ZB 
23,12,BN ES ESK HDRZ HGLO KMW LEER NVD ODZ RD VDM VSV 
24,5,ATN EEM ESE HDR STV 
25,2,GBR WW 
26,1,WWW 
