hopcount,size,stations
1,2,KMR VK 
2,2,SGL VDL 
3,2,HRLW MES 
4,2,HRL MTN 
5,4,HB LG MT STD 
6,8,BDE EGH EGHM LUT MTR NH RM SRN 
7,7,BK CVM EC EDN SM SN WT 
8,5,EHV KRD MZ RV SBK 
9,8,BD EHS GLN HMBV HT HZE TB TG 
10,13,BDPB BET DDR ETN GP HTO O RSD RTD TBU UT VL ZBM 
11,29,AMF ASA ASB ASD BGN BR BTL DDRS DT DTCP DVD GD GDG GDM MAS ODB RS RTA RTB RTN SDM TBR UTLR UTM UTO UTZL WD ZLW ZWD 
12,39,AMFS ASDM ASDZ ASHD ASS BDG BHV BKL BRD BSD CL CPS DDZD DMNZ GS GV GZ HLM HOR HRT HVSP KRG LLZM NKK NS NWK OT OW RAI RB RSW SDTB SHL TPSW UTT VG VRY WADT ZVB 
13,33,AC APN ARN ASDL ASSP AVAT BLL BZL DLD DN GVC GVMW HAD HD HFD HN HTNC HVS HWZB KBD LAA LDM MDB OVN PMR PT RLB TL VLB VTN WAD ZD ZTMO 
14,30,AKL BMR BSK CAS DMN EML GVM HLMS HM HMBH HNK HTN HVSM KZ LDL NDB NVP PMO RTST RTZ SPTZ STZ VB VS VSS WADN YPB ZDK ZTM ZVT 
15,16,AMPO AMR BSKS BSMZ CK GR HKS HLO HMH LEDN PMW SPTN ST UTLN WP ZZS 
16,12,ALMM AMRN BHDV BKG DRH DVNK MMLH SD SSH UTVR VH WM 
17,10,ALM BKF BNK BRN GND HIL HWD KMA NMH VST 
18,12,ALMB ALMO ALMP DB EKZ HBZM LLS NM OBD SDT SGN UTG 
19,8,AH ANA EST HK MRN NMGO NML WC 
20,12,AHP AHZ BV DR ED HDRZ NMD OTB RVS VNDW ZA ZV 
21,11,AHPR BMN DID EDC HDR HMN KLP VNDC WF WTV ZP 
22,11,APD DV DVN LC LTN OP RHN VD VEM VP WL 
23,12,AML APDO BNZ DTCH DVC GO KBK KTR OST RH RL TWL 
24,9,AMRI APDM BNC DDN DTC HON LTV VZ WH 
25,6,BNN DA GDR HGLG RSN ZL 
26,15,ASN DL HGL HGV HNO HVL KPNZ MP RAT TBG VHP WDN WV WZ ZLSH 
27,19,AKM BL BN DRON ES ESK GN HDE HGLO HR HRN KPN LW MRB NVD ODZ OMN SWK VSV 
28,15,ATN DEI ESE FN FWD GERP GNN GW HDB HDG LWC MG SKND SWD ZH 
29,15,BDM BF BP CO DRP DWE GBG GBR GK HLG KW SDA SK WSM WW 
30,10,DLN EMNZ HLGH IJT MTH STM UST WFM WS WWW 
31,7,APG EMN HGZ LP NSCH UHZ WK 
32,6,DZ DZW HNP UHM WR ZB 
33,4,KMW LEER RD VDM 
34,2,EEM STV 
