hopcount,size,stations
1,2,DRH SPTZ 
2,2,BLL BV 
3,2,HK HLM 
4,6,ASD ASS HAD HLMS OVN UTG 
5,15,ALM ASA ASB ASDL ASDM ASDZ CAS HIL HVS HWZB KMA LEDN SHL UT ZVT 
6,30,AC ALMB ALMO ALMP AMF AMR ASHD ASSP BRN DB DVD DVNK GV GVC HFD HLO HT HVSP KLP LAA LDL LLS MAS SSH UTLR UTM UTO UTVR VH WM 
7,36,AMFS AMRN APD APN BHV BKL BNK DMN DMNZ DRON DT DV EHV GVMW HGV HOR HTO HVL MRN NKK NS NVP O RAI SD TB UTLN UTT UTZL VB VG VST WV ZL ZTM ZZS 
8,45,AML APDM APDO ASN AVAT BDG BL BNN BSK BTL DL DTCP DVC GP GVM HD HDE HM HMBV HNO HR HTN HWD KPNZ KZ LW MP OST PT RAT RS RSW RTD RVS SDM ST TBU VNDW VTN WP WT YPB ZLSH ZP ZTMO 
9,53,AKM AMPO AMRI BD BET BMN BNC BSKS DDR DEI DN EML FN FWD GN GW HDG HMBH HMH HON HRN HTNC HZE KBK KPN LC LLZM LWC MG NDB NVD OBD OMN OT OW RM RSD RTB RTN SGN SKND STZ SWK TBR TWL VD VNDC VZ WC WD WH WZ ZD 
10,40,ALMM ANA BGN BN BNZ BP BSMZ CL DA DDRS DDZD DLD DRP DWE EC EHS ETN GERP GNN GO GZ HDB HLG HN HRT MRB MZ RHN RL RSN RTZ SK SM STD SWD VEM WADN ZDK ZH ZLW 
11,36,BDM BDPB BF BR CO DDN GBG GDM GK GLN GS HDRZ HLGH HNK HRL HVSM IJT KRG KW LTN LTV LUT MT PMW RB RLB RTST RV SDA SDTB SRN VHP WAD WDN WSM ZVB 
12,32,ARN BK BRD BSD BZL DLN EDC EMNZ HDR HGLG HKS HRLW KBD LG MDB MTH MTN MTR ODB PMR SBK SDT STM TPSW UST VL WADT WFM WK WS WWW ZBM 
13,28,APG BDE BKG ED EDN EGH EGHM EMN GD GND HBZM HGL HGZ HNP LDM LP MES NSCH PMO SN TG TL UHZ VDL VS VSS WW ZWD 
14,23,AH AKL BHDV BKF CVM DZ DZW ES ESK GDG HGLO KMR KMW KTR NH NWK ODZ RTA SGL UHM WF WR ZB 
15,19,AHP AHZ CPS DR EKZ ESE EST GR HB KRD LEER NM OP OTB RD SOG STV VDM ZV 
16,10,AHPR DID EEM GBR HMN NMGO NMH NML VK WTV 
17,6,DVN MMLH NMD VP WL ZA 
18,3,CK DTCH RH 
19,2,BMR DTC 
20,2,GDR VLB 
21,2,TBG VRY 
22,1,VSV 
23,1,ATN 
