hopcount,size,stations
1,2,BLL SPTN 
2,2,DRH HLM 
3,6,ASD ASS BV HAD HLMS OVN 
4,16,ALM ASA ASB ASDL ASDM ASDZ HIL HK HVS HWZB LEDN PMR SHL UT ZD ZVT 
5,30,AC ALMB ALMO ALMP AMF ASHD ASSP BRN DB DVD DVNK GV GVC HFD HT HVSP KLP LAA LDL LLS MAS PMO SSH UTG UTLR UTM UTO UTVR VH ZDK 
6,37,AMFS APD APN BHV BKL BNK CAS DMN DMNZ DRON DT DV EHV GVMW HGV HOR HTO HVL KMA MRN NKK NS NVP O PMW RAI SD TB UTLN UTT UTZL VB VG VST WV ZL ZTM 
7,46,AML AMR APDM APDO ASN AVAT BDG BL BNN BSK BTL DL DTCP DVC GP GVM HD HDE HLO HM HMBV HNO HR HTN KPNZ LW MP OST PT RAT RS RSW RTD RVS SDM ST TBU VNDW VTN WM WP WT YPB ZLSH ZP ZTMO 
8,52,AKM AMPO AMRI AMRN BD BET BMN BNC BSKS DDR DEI DN EML FN FWD GN GW HDG HMBH HMH HON HRN HTNC HZE KBK KPN LC LLZM LWC MG NDB NVD OMN OT OW RM RSD RTB RTN SKND STZ SWK TBR TWL VD VNDC VZ WC WD WH WZ ZZS 
9,39,ALMM BGN BN BNZ BP BSMZ CL DA DDRS DDZD DLD DRP DWE EC EHS ETN GERP GNN GO GZ HDB HLG HRT HWD KZ MRB MZ RHN RL RSN RTZ SK SM STD SWD VEM WADN ZH ZLW 
10,35,BDM BDPB BF BR CO DDN GBG GDM GK GLN GS HLGH HRL HVSM IJT KRG KW LTN LTV LUT MT OBD RB RLB RTST RV SDA SDTB SGN SRN VHP WAD WDN WSM ZVB 
11,31,ANA ARN BK BRD BSD BZL DLN EDC EMNZ HGLG HN HRLW KBD LG MDB MTH MTN MTR ODB SBK SDT STM TPSW UST VL WADT WFM WK WS WWW ZBM 
12,28,APG BDE ED EDN EGH EGHM EMN GD GND HBZM HDRZ HGL HGZ HNK HNP LDM LP MES NSCH SN TG TL UHZ VDL VS VSS WW ZWD 
13,24,AH AKL BHDV CVM DZ DZW ES ESK GDG HDR HGLO HKS KMR KMW KTR NH NWK ODZ RTA SGL UHM WF WR ZB 
14,19,AHP AHZ BKG CPS DR ESE EST GR HB KRD LEER NM OP OTB RD SOG STV VDM ZV 
15,11,AHPR BKF DID EEM GBR HMN NMGO NMH NML VK WTV 
16,7,DVN EKZ MMLH NMD VP WL ZA 
17,3,CK DTCH RH 
18,2,BMR DTC 
19,2,GDR VLB 
20,2,TBG VRY 
21,1,VSV 
22,1,ATN 
