hopcount,size,stations
1,5,BDM BF GN GNN WSM 
2,9,ASN BP GERP HRN LEER STM UST WFM ZH 
3,12,APG BL DWE FWD GK HGV KW LP MP SDA UHZ ZL 
4,22,ALMO AMF AMFS APD DL DZ DZW HD HDG HNO KPNZ LLS LW MTH NS RAT SWK UHM WH WS WZ ZLSH 
5,28,ALM ALMB APDM BRN DEI DLD DRON EML FN GW HDE HGZ HR HVL HVS KPN LWC MG NKK NSCH NVD OMN OST RD SKND UT WD WV 
6,37,AKM ALMM ALMP AML ASD ASDZ AVAT BDG BHV BNN DB DRP DV DVD EEM GD GDG HDB HLG HT HVSM HVSP KBK MAS MRB NDB PT SD SK STZ UTLR UTM UTVR UTZL WDN WR ZB 
7,43,AMPO AMRI APN ASA ASB ASS BKL BNC BNK BSMZ CO DVC EHV GBG GV GVC HGL HLGH HLM HOR HTO IJT LLZM MRN NWK RAI RSN RTA RTD SHL ST TB TWL UTLN UTO UTT VB VDM VG VHP WADT WP ZP 
8,53,AC APDO ASDL ASHD BD BLL BMN BN BNZ BSK BTL CPS DA DLN DMN DMNZ DR DT DTCP EMNZ ES ESK GP GVMW HAD HFD HGLG HGLO HM HMBV HN HON HTN HWZB LAA LC LDL ODZ OVN PMR RTB RTN SDM TBU VD VEM VNDW VTN WAD WK WT ZD ZTMO 
9,37,AH ASSP BDPB BET BSKS CAS DDN EMN ESE ETN HIL HLMS HMBH HMH HNK HNP HTNC HZE KZ LEDN LTN NVP OT PMO RH RL RSW RTZ SPTZ TBR VNDC VZ WADN YPB ZDK ZTM ZVT 
10,28,AHZ AMR ASDM CL DVNK ED EHS EST GBR GO GZ HKS HLO KMW LTV MZ NM OTB PMW RHN RLB RTST SPTN SSH VH VP WC ZZS 
11,19,AHPR AMRN BKG BRD DRH EDC GDM KLP NMGO NMH NML O RVS STV VST WF WM WWW ZA 
12,13,AHP BKF BSD GVM HMN HWD KMA MMLH NMD OW WW ZBM ZWD 
13,10,ATN CK EKZ LDM OBD OP RS SGN UTG WTV 
14,7,AKL ANA BMR DVN HK KTR VSV 
15,6,BV GR HDRZ TL VLB ZV 
16,5,BHDV DID HDR TPSW VRY 
17,3,BR GND WL 
18,5,DTCH HBZM HRT SDT VL 
19,4,DN DTC SDTB TG 
20,3,DDRS GDR RV 
21,3,DDR SM TBG 
22,4,DDZD RM RSD ZLW 
23,4,BGN EC STD ZVB 
24,9,GLN GS HRL KRG LUT MT ODB RB SRN 
25,10,ARN BK BZL HRLW KBD LG MDB MTN MTR SBK 
26,9,BDE EDN EGH EGHM MES SN VDL VS VSS 
27,4,CVM KMR NH SGL 
28,3,HB KRD SOG 
29,1,VK 
