hopcount,size,stations
1,5,AKM GW HR MP WV 
2,4,ASN HGV LW ZL 
3,24,ALMO AMF AMFS APD BL DEI DL FN FWD GN HD HDG HNO HRN KPNZ LLS LWC MG NS RAT SKND WH WZ ZLSH 
4,26,ALM ALMB APDM BP BRN DLD DRON DRP DWE EML GERP GNN HDE HLG HVL HVS KPN NKK NVD OMN OST SK SWD UT WD ZH 
5,38,ALMM ALMP AML ASD ASDZ AVAT BDG BDM BF BHV BNN DB DV DVD GD GDG GK HDB HLGH HT HVSM HVSP IJT KBK KW MAS MRB NDB PT SD SDA STZ UTLR UTM UTVR UTZL WDN WSM 
6,46,AMPO AMRI APN ASA ASB ASS BKL BNC BNK BSMZ CO DVC EHV GBG GV GVC HGL HLM HOR HTO LLZM MRN MTH NWK RAI RSN RTA RTD SHL ST STM TB TWL UST UTLN UTO UTT VB VG VHP WADT WFM WK WP WS ZP 
7,58,AC APDO APG ASDL ASHD BD BLL BMN BN BNZ BSK BTL CPS DA DLN DMN DMNZ DR DT DTCP EMNZ ES ESK GP GVMW HAD HFD HGLG HGLO HGZ HM HMBV HN HNP HON HTN HWZB LAA LC LDL LP NSCH ODZ OVN PMR RTB RTN SDM TBU UHZ VD VEM VNDW VTN WAD WT ZD ZTMO 
8,42,AH ASSP BDPB BET BSKS CAS DDN DZ DZW EMN ESE ETN HIL HLMS HMBH HMH HNK HTNC HZE KMW KZ LEDN LTN NVP OT PMO RH RL RSW RTZ SPTZ TBR UHM VNDC VZ WADN WR YPB ZB ZDK ZTM ZVT 
9,31,AHZ AMR ASDM CL DVNK ED EHS EST GBR GO GZ HKS HLO LEER LTV MZ NM OTB PMW RD RHN RLB RTST SPTN SSH STV VDM VH VP WC ZZS 
10,19,AHPR AMRN BKG BRD DRH EDC EEM GDM KLP NMGO NMH NML O RVS VST WF WM WWW ZA 
11,13,AHP BKF BSD GVM HMN HWD KMA MMLH NMD OW WW ZBM ZWD 
12,10,ATN CK EKZ LDM OBD OP RS SGN UTG WTV 
13,7,AKL ANA BMR DVN HK KTR VSV 
14,6,BV GR HDRZ TL VLB ZV 
15,5,BHDV DID HDR TPSW VRY 
16,3,BR GND WL 
17,5,DTCH HBZM HRT SDT VL 
18,4,DN DTC SDTB TG 
19,3,DDRS GDR RV 
20,3,DDR SM TBG 
21,4,DDZD RM RSD ZLW 
22,4,BGN EC STD ZVB 
23,9,GLN GS HRL KRG LUT MT ODB RB SRN 
24,10,ARN BK BZL HRLW KBD LG MDB MTN MTR SBK 
25,9,BDE EDN EGH EGHM MES SN VDL VS VSS 
26,4,CVM KMR NH SGL 
27,3,HB KRD SOG 
28,1,VK 
