hopcount,size,stations
1,2,GDM TL 
2,4,BSD CL KTR ZBM 
3,4,HT HTNC LDM OP 
4,8,AKL EHV HMN HTN HTO O TB VG 
5,12,BD BTL GP GR HM HMBV RS RVS TBU UTLN WT ZA 
6,14,BDPB BET BHDV DN EST ETN HMBH HMH HZE OT OW RM TBR UTVR 
7,14,AH AHZ BNK EC EHS GND GZ HRT MZ NM NML SM STD UT 
8,29,AHP AMF ASA ASB ASD DB DR DVD ED GD GDG GLN HBZM HRL LUT MAS MT NMGO NMH OTB SDT SRN UTLR UTM UTO UTZL WC WD ZV 
9,43,AHPR AMFS ASDM ASDZ ASHD ASS BDG BHV BK BKL BMN DID DMNZ EDC GV GVC HLM HOR HRLW HVL HVSP KLP LG LLZM MMLH MRN MTN MTR NKK NMD NS NWK RAI RTA SBK SDTB SHL UTT VB WADT WF WTV ZP 
10,44,AC APD APN ASDL ASSP AVAT BDE BLL BNN CK CPS DDRS DLD DV DVN EDN EGH EGHM GVMW HAD HD HDE HFD HN HVS HWZB LAA LC LTN MES OVN PMR PT SN VD VDL VEM VNDW VP VTN WAD WL ZD ZTMO 
11,39,AML APDO BMR BNC BNZ BSK CAS CVM DDR DMN DTCH DVC EML GO HLMS HNK HVSM KBK KMR KZ LDL NDB NH NVP OST PMO RH RL SGL SPTZ STZ TWL VNDC WADN WZ YPB ZDK ZTM ZVT 
12,31,AMPO AMR AMRI APDM BSKS BSMZ DDN DDZD DTC HB HKS HLO HON KRD LEDN LTV PMW RHN RSD RTB RTD SOG SPTN ST VLB VZ WH WP ZLW ZWD ZZS 
13,23,ALMM AMRN BGN BKG BRD DA DRH DT DTCP DVNK GDR HGLG RSN RTN SD SDM SSH VH VK VRY WM ZL ZVB 
14,27,ALM ASN BKF BR BRN DL GS HGL HGV HIL HNO HWD KMA KPNZ KRG MP ODB RAT RB RLB RSW TBG VHP VST WDN WV ZLSH 
15,33,AKM ALMB ALMO ALMP ARN BL BN BZL EKZ ES ESK GN GVM HGLO HR HRN KBD KPN LLS LW MDB MRB NVD OBD ODZ OMN RTST RTZ SGN SWK UTG VL VSV 
16,21,ANA ATN DEI DRON ESE FN FWD GERP GNN GW HDB HDG HK LWC MG SKND SWD TG VS VSS ZH 
17,18,BDM BF BP BV CO DRP DWE GBG GBR GK HDRZ HLG KW RV SDA SK WSM WW 
18,11,DLN EMNZ HDR HLGH IJT MTH STM UST WFM WS WWW 
19,7,APG EMN HGZ LP NSCH UHZ WK 
20,6,DZ DZW HNP UHM WR ZB 
21,4,KMW LEER RD VDM 
22,2,EEM STV 
