hopcount,size,stations
1,2,APDO DV 
2,5,AML APD DVC OST ZP 
3,11,AMF AMRI APDM BMN DR HGL HON LC VD VZ WH 
4,22,AH AMFS BN BRN DA DLD ES ESK GO HGLG HGLO HVL HVS KBK NKK ODZ RH RL RSN UT WD ZL 
5,46,AHZ ASD ASN AVAT BDG BHV BNN DB DDN DL DVD ED ESE EST GD GDG HD HGV HNO HVSM HVSP KPNZ LLS LTV MAS MP NDB NM NS OTB PT RAT SD STZ UTLR UTM UTVR UTZL VEM VHP VP WC WDN WV WZ ZLSH 
6,53,AHPR AKM AMPO APN ASA ASB ASDZ ASS BKL BL BNC BNK BSMZ DRON EDC EML GBR GN GV GVC HDE HLM HOR HR HRN KLP KPN LLZM LW MRB MRN NMGO NMH NML NVD NWK O OMN RAI RTA RTD RVS ST SWK UTLN UTO UTT VB WADT WF WP WWW ZA 
7,51,AC AHP ALMM ASDL ASHD BLL BNZ BSK CPS DEI DMN DMNZ DT DTCP FN FWD GERP GNN GVMW GW HAD HDB HDG HMN HN HT HTN HWZB LAA LDL LTN LWC MG MMLH NMD OVN OW PMR RTB RTN SDM SHL SKND SWD VNDW VTN WAD WW ZD ZH ZTMO 
8,42,ALM ASSP ATN BDM BF BP BSKS CAS CK CO DRP DWE EHV GBG GK HFD HIL HLG HLMS HNK HTNC KW KZ LEDN OP PMO RS RSW RTZ SDA SK SPTZ TB VG VNDC WADN WSM WTV YPB ZDK ZTM ZVT 
9,38,ALMB ALMO ALMP AMR ASDM BD BMR BTL CL DLN DVN DVNK EMNZ GP HKS HLGH HLO HM HMBV HTO IJT KTR MTH NVP PMW RHN RLB RTST SPTN STM TBU UST VH VSV WFM WS WT ZZS 
10,27,AMRN APG BDPB BET BKG BRD DRH EMN ETN GDM HGZ HMBH HMH HZE LP NSCH OT RSD SSH TBR TL UHZ VLB VST WK WM ZV 
11,20,BGN BKF BSD DID DZ DZW EHS GVM GZ HNP HWD KMA MZ TPSW UHM VRY WR ZB ZBM ZWD 
12,14,BR EKZ GS KMW KRG LDM LEER OBD RB RD SGN UTG VDM WL 
13,12,AKL ANA ARN BZL DTCH EEM HK HRT KBD MDB STV VL 
14,8,BV DN DTC GR HDRZ TG VS VSS 
15,4,BHDV GDR HDR RV 
16,3,GND SM TBG 
17,3,HBZM RM SDT 
18,3,EC SDTB STD 
19,6,DDRS GLN HRL LUT MT SRN 
20,7,BK DDR HRLW LG MTN MTR SBK 
21,9,BDE DDZD EDN EGH EGHM MES SN VDL ZLW 
22,5,CVM KMR NH SGL ZVB 
23,4,HB KRD ODB SOG 
24,1,VK 
