hopcount,size,stations
1,3,BF UHZ WFM 
2,3,SWD UHM WSM 
3,4,BDM GN GNN RD 
4,8,ASN BP EEM GERP HRN LEER STM ZH 
5,11,APG BL DWE FWD GK HGV KW LP MP SDA ZL 
6,21,ALMO AMF AMFS APD DL DZ DZW HD HDG HNO KPNZ LLS LW MTH NS RAT SWK WH WS WZ ZLSH 
7,27,ALM ALMB APDM BRN DEI DLD DRON EML FN GW HDE HGZ HR HVL HVS KPN LWC MG NKK NSCH NVD OMN OST SKND UT WD WV 
8,36,AKM ALMM ALMP AML ASD ASDZ AVAT BDG BHV BNN DB DRP DV DVD GD GDG HDB HLG HT HVSM HVSP KBK MAS MRB NDB PT SD SK STZ UTLR UTM UTVR UTZL WDN WR ZB 
9,43,AMPO AMRI APN ASA ASB ASS BKL BNC BNK BSMZ CO DVC EHV GBG GV GVC HGL HLGH HLM HOR HTO IJT LLZM MRN NWK RAI RSN RTA RTD SHL ST TB TWL UTLN UTO UTT VB VDM VG VHP WADT WP ZP 
10,53,AC APDO ASDL ASHD BD BLL BMN BN BNZ BSK BTL CPS DA DLN DMN DMNZ DR DT DTCP EMNZ ES ESK GP GVMW HAD HFD HGLG HGLO HM HMBV HN HON HTN HWZB LAA LC LDL ODZ OVN PMR RTB RTN SDM TBU VD VEM VNDW VTN WAD WK WT ZD ZTMO 
11,37,AH ASSP BDPB BET BSKS CAS DDN EMN ESE ETN HIL HLMS HMBH HMH HNK HNP HTNC HZE KZ LEDN LTN NVP OT PMO RH RL RSW RTZ SPTZ TBR VNDC VZ WADN YPB ZDK ZTM ZVT 
12,28,AHZ AMR ASDM CL DVNK ED EHS EST GBR GO GZ HKS HLO KMW LTV MZ NM OTB PMW RHN RLB RTST SPTN SSH VH VP WC ZZS 
13,19,AHPR AMRN BKG BRD DRH EDC GDM KLP NMGO NMH NML O RVS STV VST WF WM WWW ZA 
14,13,AHP BKF BSD GVM HMN HWD KMA MMLH NMD OW WW ZBM ZWD 
15,10,ATN CK EKZ LDM OBD OP RS SGN UTG WTV 
16,7,AKL ANA BMR DVN HK KTR VSV 
17,6,BV GR HDRZ TL VLB ZV 
18,5,BHDV DID HDR TPSW VRY 
19,3,BR GND WL 
20,5,DTCH HBZM HRT SDT VL 
21,4,DN DTC SDTB TG 
22,3,DDRS GDR RV 
23,3,DDR SM TBG 
24,4,DDZD RM RSD ZLW 
25,4,BGN EC STD ZVB 
26,9,GLN GS HRL KRG LUT MT ODB RB SRN 
27,10,ARN BK BZL HRLW KBD LG MDB MTN MTR SBK 
28,9,BDE EDN EGH EGHM MES SN VDL VS VSS 
29,4,CVM KMR NH SGL 
30,3,HB KRD SOG 
31,1,VK 
