hopcount,size,stations
1,19,AH AMF ASA ASB ASD DB DVD ED GD GDG HT KLP MAS UTLR UTM UTO UTVR UTZL WD 
2,45,AHP AHZ AMFS APD ASDM ASDZ ASHD ASS BDG BHV BKL BNK DMNZ DR DV EDC EHV EST GV GVC HLM HOR HTO HVL HVSP LLZM MRN NKK NM NS NWK O RAI RTA RTD SHL TB UTLN UTT VB VG WADT WF ZL ZV 
3,64,AC AHPR AML APDM APDO APN ASDL ASN ASSP AVAT BD BLL BMN BNN BTL CPS DID DL DLD DT DTCP DVC GP GVMW HAD HD HDE HFD HGV HM HMBV HN HNO HTN HVS HWZB KPNZ LAA MP NMGO NMH NML OST OTB OVN PMR PT RAT RS RTB RTN RVS SDM TBU VNDW VTN WAD WT WTV WV ZD ZLSH ZP ZTMO 
4,60,AKM AMRI BDPB BET BL BNC BSK CAS DMN DN DVN EML ETN GN HLMS HMBH HMH HNK HON HR HRN HTNC HVSM HZE KBK KPN KZ LC LDL LW MMLH NDB NMD NVD NVP OMN OT OW PMO RM RSW RTZ SPTZ STZ SWK TBR TWL VD VNDC VP VZ WADN WC WH WL WZ YPB ZDK ZTM ZVT 
5,47,AMPO AMR BN BNZ BSKS BSMZ CK CL DA DEI DTCH EC EHS FN FWD GERP GNN GO GW GZ HDB HDG HKS HLO HRT LEDN LWC MG MRB MZ PMW RH RHN RL RLB RSN RTST SKND SM SPTN ST STD SWD VEM WP ZH ZZS 
6,38,ALMM AMRN BDM BF BKG BMR BP BR BRD CO DDN DRH DRP DTC DVNK DWE GBG GDM GK GLN HLG HRL KW LTN LTV LUT MT RV SD SDA SK SRN SSH VH VHP WDN WM WSM 
7,30,ALM BK BKF BRN BSD DLN EMNZ GDR HGLG HIL HLGH HRLW HWD IJT KMA LG MTH MTN MTR SBK STM TPSW UST VL VLB VST WFM WS ZBM ZWD 
8,29,ALMB ALMO ALMP APG BDE EDN EGH EGHM EKZ EMN GVM HGL HGZ LDM LLS LP MES NSCH OBD SGN SN TBG TG TL UHZ UTG VDL VRY WK 
9,20,AKL ANA CVM DRON DZ DZW ES ESK HGLO HK HNP KMR KTR NH ODZ SGL UHM VSV WR ZB 
10,13,ATN BV ESE GR HB HDRZ KMW KRD LEER OP RD SOG VDM 
11,8,BHDV EEM GBR HDR HMN STV VK WW 
12,3,GND WWW ZA 
13,2,HBZM SDT 
14,1,SDTB 
15,1,DDRS 
16,1,DDR 
17,3,DDZD RSD ZLW 
18,2,BGN ZVB 
19,4,GS KRG ODB RB 
20,4,ARN BZL KBD MDB 
21,2,VS VSS 
