hopcount,size,stations
1,2,MAS UT 
2,15,AH AMF ASB BKL DB ED GD GDG HT KLP UTLR UTM UTO UTVR WD 
3,43,AC AHP AHZ AMFS APD ASA ASD ASDZ ASHD BDG BHV BNK DR DV DVD EDC EHV EST GV GVC HOR HTO HVL HVSP LLZM MRN NKK NM NS NWK O RTA RTD SHL TB UTLN UTT VB VG WADT WF ZL ZV 
4,59,AHPR AML APDM APDO APN ASDM ASN ASS AVAT BD BMN BNN BTL CPS DID DL DLD DMNZ DT DTCP DVC GP GVMW HD HDE HFD HGV HLM HM HMBV HNO HTN HVS KPNZ LAA MP NMGO NMH NML OST OTB PT RAI RAT RS RTB RTN RVS SDM TBU VNDW VTN WAD WT WTV WV ZLSH ZP ZTMO 
5,60,AKM AMRI ASDL ASSP BDPB BET BL BLL BNC BSK DN DVN EML ETN GN HAD HMBH HMH HN HON HR HRN HTNC HVSM HWZB HZE KBK KPN LC LDL LW MMLH NDB NMD NVD NVP OMN OT OVN OW PMR RM RSW RTZ STZ SWK TBR TWL VD VNDC VP VZ WADN WC WH WL WZ YPB ZD ZTM 
6,51,AMPO BN BNZ BSKS BSMZ CAS CK CL DA DEI DMN DTCH EC EHS FN FWD GERP GNN GO GW GZ HDB HDG HIL HLMS HNK HRT KZ LEDN LWC MG MRB MZ PMO RH RHN RL RLB RSN RTST SKND SM SPTZ ST STD SWD VEM WP ZDK ZH ZVT 
7,40,ALMM AMR BDM BF BMR BP BR BRD CO DDN DRP DTC DVNK DWE GBG GDM GK GLN HKS HLG HLO HRL KW LTN LTV LUT MT PMW RV SD SDA SK SPTN SRN SSH VH VHP WDN WSM ZZS 
8,30,ALM AMRN BK BKG BRN BSD DLN DRH EMNZ GDR HGLG HLGH HRLW IJT LG MTH MTN MTR SBK STM TPSW UST VL VLB VST WFM WM WS ZBM ZWD 
9,28,ALMB ALMO ALMP APG BDE BKF EDN EGH EGHM EMN GVM HGL HGZ HWD KMA LDM LLS LP MES NSCH SN TBG TG TL UHZ VDL VRY WK 
10,22,AKL CVM DRON DZ DZW EKZ ES ESK HGLO HNP KMR KTR NH OBD ODZ SGL SGN UHM UTG VSV WR ZB 
11,13,ANA ATN ESE GR HB HK KMW KRD LEER OP RD SOG VDM 
12,9,BHDV BV EEM GBR HDRZ HMN STV VK WW 
13,4,GND HDR WWW ZA 
14,2,HBZM SDT 
15,1,SDTB 
16,1,DDRS 
17,1,DDR 
18,3,DDZD RSD ZLW 
19,2,BGN ZVB 
20,4,GS KRG ODB RB 
21,4,ARN BZL KBD MDB 
22,2,VS VSS 
