hopcount,size,stations
1,3,GD GVC YPB 
2,10,GDG GV LAA LEDN NWK SHL UT WADT ZTM ZTMO 
3,27,AH AMF ASB ASD ASDL ASDZ ASS DB DT ED GVM GVMW HAD HFD HT KLP LDL LLZM MAS SSH UTM UTO UTVR UTZL VH WAD WD 
4,43,AHP AHZ ALM AMFS APD APN ASHD BHV BKL BNK DR DTCP DV DVD EDC EST HIL HLM HN HOR HTO HVL HVSP MRN NKK NM NS NVP O PMR RAI RSW RTD SDM UTLN VG VST VTN WADN WF ZD ZL ZV 
5,57,AC AHPR ALMB ALMO ALMP AML APDM APDO ASA ASN AVAT BD BDG BLL BMN BNN BSKS DDR DID DL DLD DMNZ DVC DVNK HD HDE HGV HLMS HNK HNO HTN HVS KZ LLS MP NMGO NMH NML OST OTB OVN PMO PT RAT RS RSD RTA RTB RTN RVS UTT VNDW WTV WV ZDK ZLSH ZP 
6,53,AKM AMRI ASDM BGN BL BNC BSK CPS DDRS DDZD DRON DVN EHV EML ETN GN GZ HKS HON HR HRN HTNC HVSM HWZB KBK KPN LC LW MMLH NMD NVD OMN OW PMW RTZ SPTZ STZ SWK TB TWL UTLR VD VNDC VP VZ WC WH WL WP WZ ZLW ZVT ZZS 
7,48,AMPO ASSP BDPB BKG BN BNZ BSMZ CK CL DA DEI DTCH FN FWD GERP GNN GO GP GS GW HDB HDG HM HMBV KPNZ KRG LWC MG MRB NDB OT RB RH RHN RL RLB RSN RTST SDTB SKND SPTN ST SWD TBR VEM WT ZH ZVB 
8,40,ALMM ARN BDM BF BKF BMR BP BRD BTL BZL CO DDN DMN DN DRH DRP DTC DWE GBG GDM GK HLG HMBH HMH HZE KBD KW LTN LTV MDB ODB RM SD SDA SDT SK TBU VHP WDN WSM 
9,28,BET BRN BV DLN EC EKZ EMNZ GDR GND HBZM HGLG HLGH HRT IJT MTH MZ SM STD STM TPSW UST VLB VS VSS WFM WS ZBM ZWD 
10,21,APG BHDV BR EHS EMN GLN HGL HGZ HK HRL LP LUT MT NSCH RV SRN TBG TL UHZ VRY WK 
11,21,BK DZ DZW ES ESK GR HGLO HNP HRLW KTR LG MTN MTR ODZ SBK UHM UTG VL VSV WR ZB 
12,18,AKL ATN BDE CAS EDN EGH EGHM ESE KMA KMW LEER MES OP RD SN TG VDL VDM 
13,13,AMR CVM EEM GBR HLO HMN KMR LDM NH SGL STV WM WW 
14,7,AMRN BSD HB KRD SOG WWW ZA 
15,2,HWD VK 
16,2,OBD SGN 
17,1,ANA 
18,1,HDRZ 
19,1,HDR 
