hopcount,size,stations
1,2,RL ZP 
2,7,APD BMN DR DV LC LTV VEM 
3,11,AH AMF AML APDO DVC GO KBK OST RH TWL WWW 
4,22,AHZ AMFS AMRI APDM BRN DDN DLD ED EST HON HVL HVS NKK NM OTB UT VP VZ WC WD WH WW 
5,34,AHPR ASD ATN AVAT BDG BHV DA DB DVD EDC GD GDG HGLG HVSM HVSP KLP MAS NDB NMGO NMH NML O PT RSN RVS SD STZ UTLR UTM UTVR UTZL WF ZA ZL 
6,51,AHP AMPO APN ASA ASB ASDZ ASN ASS BKL BNK BSMZ DL EML GV GVC HD HGL HGV HLM HMN HNO HOR HT KPNZ LLS LLZM LTN MMLH MP MRN NMD NS NWK OW RAI RAT RTA RTD ST UTLN UTO UTT VB VHP VSV WADT WDN WP WV WZ ZLSH 
7,56,AC AKM ALMM ASDL ASHD BL BLL BN BNZ BSK CK CPS DMN DMNZ DRON DT DTCP EHV ES ESK GN GVMW HAD HDE HGLO HN HR HRN HTN HWZB KPN LAA LDL LW MRB NVD ODZ OMN OP OVN PMR RS RTB RTN SDM SHL SWK TB TBG VG VNDW VTN WAD WTV ZD ZTMO 
8,48,ALM ASSP BD BMR BNC BSKS BTL CAS DEI DVN ESE FN FWD GDR GERP GNN GP GW HDB HDG HFD HIL HLMS HM HMBV HNK HTNC HTO KTR KZ LEDN LWC MG PMO RSW RTZ SKND SPTZ SWD TBU VNDC WADN WT YPB ZDK ZH ZTM ZVT 
9,44,ALMB ALMO ALMP AMR ASDM BDM BDPB BET BF BNN BP CO DRP DTC DVNK DWE ETN GBG GBR GK HKS HLG HLO HMBH HMH HZE KW NVP OT PMW RHN RLB RSD RTST SDA SK SPTN TBR TL VH VLB WSM ZV ZZS 
10,24,AMRN BGN BKG DID DLN DRH EHS EMNZ GZ HLGH IJT MTH MZ ODB SSH STM TPSW UST VRY VST WFM WM WS ZLW 
11,18,APG BKF BR EMN GDM GS GVM HGZ HWD KMA KRG LP NSCH RB UHZ WK WL ZVB 
12,20,ARN BSD BZL CL DTCH DZ DZW EKZ HNP HRT KBD MDB OBD SGN UHM UTG VL WR ZB ZBM 
13,11,ANA DN HK KMW LDM LEER RD TG VDM VS VSS 
14,6,AKL BV EEM HDRZ RV STV 
15,3,GR HDR SM 
16,2,BHDV RM 
17,3,EC GND STD 
18,7,GLN HBZM HRL LUT MT SDT SRN 
19,7,BK HRLW LG MTN MTR SBK SDTB 
20,8,BDE DDRS EDN EGH EGHM MES SN VDL 
21,5,CVM DDR KMR NH SGL 
22,5,DDZD HB KRD SOG ZWD 
23,2,BRD VK 
