hopcount,size,stations
1,2,HIL LEDN 
2,9,DVNK GV GVC HAD HFD LAA LDL SHL SSH 
3,9,APN ASDZ DT GVMW HLM NVP VB VST ZTM 
4,15,ASD ASS BDG BLL BSK DTCP GVM HLMS OVN RAI RSW RTD SDM YPB ZTMO 
5,20,ALM ASA ASB ASDL ASDM BD BSKS DDR HN HVS HWZB LLZM PMR RSD RTB RTN SPTZ WD ZD ZVT 
6,28,AC ALMB ALMO ALMP AMF ASHD ASSP BGN BKL BRN DDRS DDZD DVD ETN GZ HNK HVSP KZ LLS PMO RTZ SPTN TB UT VTN WADN ZDK ZLW 
7,36,AH AMFS APD BDPB DB DMN DMNZ DRH DRON DV ED GS HKS HT HVL KLP KRG MAS NKK NS OT PMW RB RLB RTST SDTB TBR UTM UTO UTT UTVR UTZL WAD ZL ZVB ZZS 
8,50,AHP AHZ AML APDM APDO ARN ASN AVAT BHV BKG BNK BNN BRD BV BZL DL DR DVC EDC EHV EST HD HDE HGV HNO HOR HTO KBD KPNZ MDB MP MRN NM O ODB OST PT RAT SDT TBU UTLN UTLR VG WADT WF WP WV ZLSH ZP ZV 
9,49,AHPR AKM AMPO AMRI BKF BL BMN BNC BTL DID DLD EML GD GN GND GP HBZM HK HM HMBV HON HR HRN HTN KBK KPN LC LW NDB NMGO NMH NML NVD OMN OTB RS RVS SWK TWL VD VNDW VS VSS VZ WH WT WTV WZ ZWD 
10,45,ALMM BET BHDV BN BNZ BSMZ DA DEI DN DVN EKZ FN FWD GDG GERP GNN GO GW HDB HDG HMBH HMH HTNC HZE LWC MG MMLH MRB NMD NWK OW RL RM RSN RTA SKND STZ SWD UTG VEM VNDC VP WC WL ZH 
11,35,BDM BF BP CAS CK CL CO CPS DDN DRP DTCH DWE EC EHS GBG GK GR HLG HRT HVSM KMA KW LTN LTV MZ RH RHN SDA SK SM ST STD VHP WDN WSM 
12,25,AKL AMR BMR BR DLN DTC EMNZ GDM GLN HGLG HLGH HLO HRL IJT LUT MT MTH RV SD SRN STM UST WFM WM WS 
13,21,AMRN APG BK BSD EMN GDR HGL HGZ HRLW LG LP MTN MTR NSCH SBK TPSW UHZ VL VLB WK ZBM 
14,23,BDE DZ DZW EDN EGH EGHM ES ESK HGLO HNP HWD LDM MES ODZ SN TBG TG TL UHM VDL VRY WR ZB 
15,13,CVM ESE KMR KMW KTR LEER NH OBD RD SGL SGN VDM VSV 
16,9,ANA ATN EEM GBR HB KRD OP SOG STV 
17,4,HDRZ HMN VK WW 
18,3,HDR WWW ZA 
