hopcount,size,stations
1,2,BR TG 
2,3,HRT RV VRY 
3,3,DN SM VLB 
4,4,BMR HM HMBH RM 
5,6,CK EC EHV HMH STD WT 
6,13,BD EHS GLN GP HMBV HRL HT LUT MMLH MT MZ SRN TB 
7,18,BDPB BET BK DDR ETN HRLW HTO HZE LG MTN MTR NMH RSD RTD SBK TBU UT ZBM 
8,35,ASA ASB ASD BDE BGN BTL DDRS DT DTCP DVD EDN EGH EGHM GD GDG GDM MAS MES NM ODB RS RTA RTB RTN SDM SN TBR UTLR UTM UTO UTZL VDL WD ZLW ZWD 
9,42,AH ASDM ASDZ ASHD ASS BDG BHV BKL BRD BSD CL CPS CVM DDZD DMNZ EST GS GV GZ HLM HOR HVSP KMR KRG LLZM NH NMGO NML NWK O OT RAI RB RSW SDTB SGL SHL UTT VG WADT WC ZVB 
10,38,AC AHP AHZ APN ARN ASDL ASSP BLL BZL DR ED GVC GVMW HAD HB HFD HN HTNC HWZB KBD KRD LAA LDM MDB NMD OTB OVN OW PMR RLB RVS SOG VTN WAD ZA ZD ZTMO ZV 
11,34,AHPR AKL BMN BSK CAS DB DID DMN EDC GVM HLMS HMN HNK HTN KLP KZ LDL NVP PMO RTST RTZ SPTZ VB VK VS VSS WADN WF WTV YPB ZDK ZP ZTM ZVT 
12,22,AMR APD BNK BSKS DV DVN GR HKS HLO LC LEDN LTN MRN OP PMW SPTN UTLN VD VEM VP WL ZZS 
13,22,AML AMRN APDO BHDV BKG BNZ DRH DTCH DVC DVNK GO KBK KTR OST RH RL SSH TWL UTVR VH VNDW WM 
14,17,AMRI APDM BKF BNC DDN DTC GND HIL HON HWD KMA LTV TL VNDC VST VZ WH 
15,14,BNN DA EKZ GDR HBZM HGLG OBD RHN RSN SDT SGN TPSW UTG ZL 
16,17,ANA ASN DL HGL HGV HK HNO HVL KPNZ MP RAT TBG VHP WDN WV WZ ZLSH 
17,22,AKM AMF BL BN BV DRON ES ESK GN HDE HDRZ HGLO HR HRN KPN LW MRB NVD ODZ OMN SWK VSV 
18,22,AMFS ATN BRN DEI DLD ESE FN FWD GERP GNN GW HDB HDG HDR HVS LWC MG NKK NS SKND SWD ZH 
19,22,AVAT BDM BF BP CO DRP DWE GBG GBR GK HD HLG HVSM KW NDB PT SD SDA SK STZ WSM WW 
20,15,AMPO BSMZ DLN EML EMNZ HLGH IJT MTH ST STM UST WFM WP WS WWW 
21,8,ALMM APG EMN HGZ LP NSCH UHZ WK 
22,7,ALM DZ DZW HNP UHM WR ZB 
23,8,ALMB ALMO ALMP KMW LEER LLS RD VDM 
24,2,EEM STV 
