hopcount,size,stations
1,2,AHPR RH 
2,2,AHP DR 
3,4,AH BMN WTV ZP 
4,13,AHZ APD DV DVN ED EST LC NM OTB UT VD VEM WC 
5,30,AML APDO ASA ASB DB DVC DVD EDC GD GDG GO KBK KLP MAS NMGO NMH NML O OST RL RVS TWL UTLR UTM UTO UTZL WD WF ZA ZV 
6,32,AMRI APDM ASDZ ASHD BDG BKL BNK DDN DID GV GVC HMN HON HOR HT LLZM LTN LTV MMLH MRN NMD NWK OW RAI RTA RTD SHL UTT VB VZ WADT WH 
7,29,AC APN BNZ CK CPS DA DT DTCP EHV GVMW HFD HGLG LAA OP RS RSN RTB RTN SDM TB UTVR VG VNDW VTN WAD WL WWW ZL ZTMO 
8,37,ASN BD BMR BNC BSK BTL DL DTCH GP HGL HGV HM HMBV HNO HTO KPNZ KTR LDL LLS MP NVP RAT RSW RTZ TBU UTLN VHP VNDC WADN WDN WT WV WW WZ YPB ZLSH ZTM 
9,36,AKM BDPB BET BL BN BNN BSKS DRON DTC ES ESK ETN GN HDE HGLO HMBH HMH HR HRN HTN HZE KPN LEDN LW MRB NVD ODZ OMN OT RHN RSD RTST SWK TBR TL VLB 
10,28,BGN DEI DVNK EHS ESE FN FWD GDR GERP GNN GW GZ HDB HDG HTNC HVL LWC MG MZ ODB SKND SSH SWD TPSW VH VRY ZH ZLW 
11,24,AMF BDM BF BP BR CO DRP DWE GBG GBR GDM GK GS HIL HLG KRG KW RB SDA SK TBG VST WSM ZVB 
12,26,AMFS ARN BRN BSD BZL CL DLD DLN EMNZ GVM HLGH HRT HVS IJT KBD MDB MTH NKK NS STM UST VL VSV WFM WS ZBM 
13,23,APG ASD ATN AVAT BHV DN EMN HD HGZ HVSM HVSP LDM LP NDB NSCH PT SD STZ TG UHZ VS VSS WK 
14,15,AKL AMPO ASS BSMZ DZ DZW EML HLM HNP RV ST UHM WP WR ZB 
15,17,ALMM ASDL BLL DMN DMNZ GR HAD HN HWZB KMW LEER OVN PMR RD SM VDM ZD 
16,14,ALM ASSP BHDV CAS EEM HLMS HNK KZ PMO RM SPTZ STV ZDK ZVT 
17,13,ALMB ALMO ALMP AMR ASDM EC GND HKS HLO PMW SPTN STD ZZS 
18,11,AMRN BKG DRH GLN HBZM HRL LUT MT SDT SRN WM 
19,10,BK BKF HRLW HWD KMA LG MTN MTR SBK SDTB 
20,12,BDE DDRS EDN EGH EGHM EKZ MES OBD SGN SN UTG VDL 
21,7,ANA CVM DDR HK KMR NH SGL 
22,7,BV DDZD HB HDRZ KRD SOG ZWD 
23,3,BRD HDR VK 
24,1,RLB 
