hopcount,size,stations
1,2,BR VLB 
2,3,BMR HRT VL 
3,3,CK DN TG 
4,4,HM HMBH MMLH RV 
5,4,EHV HMH NMH SM 
6,5,EHS GP HMBV NM RM 
7,11,AH BET EC EST HZE NMGO NML O STD WC WT 
8,19,AHP AHZ BTL DR ED GLN HRL HT LUT MT MZ NMD OTB OW RVS SRN UT ZA ZV 
9,32,AHPR ASA ASB BK BMN DB DID DVD EDC GD GDG HMN HRLW KLP LG MAS MTN MTR OT RS SBK TB UTLR UTM UTO UTZL VG WD WF WTV ZBM ZP 
10,37,APD ASDZ ASHD BD BDE BDG BKL BNK DV DVN EDN EGH EGHM GV GVC HOR HTO LC LLZM LTN MES MRN NWK OP RAI RTA SHL SN TBU UTT VB VD VDL VEM VP WADT WL 
11,31,AC AML APDO APN BDPB BNZ CPS CVM DTCH DVC ETN GO GVMW HFD KBK KMR KTR LAA NH OST RH RL RSD SGL TBR TWL UTVR VNDW VTN WAD ZTMO 
12,25,AMRI APDM BGN BNC BSK DDN DTC GZ HB HON KRD LDL LTV NVP ODB RSW SOG TL VNDC VZ WADN WH YPB ZLW ZTM 
13,15,BNN BSKS DA GDR GS HGLG KRG LEDN RB RHN RSN TPSW VK ZL ZVB 
14,23,ARN ASN BZL DL DVNK GDM HGL HGV HNO HVL KBD KPNZ MDB MP RAT SSH TBG VH VHP WDN WV WZ ZLSH 
15,26,AKM AMF BL BN BSD CL DRON ES ESK GN HDE HGLO HIL HR HRN KPN LW MRB NVD ODZ OMN SWK VS VSS VST VSV 
16,24,AMFS ATN BRN DEI DLD ESE FN FWD GERP GNN GVM GW HDB HDG HTNC HVS LDM LWC MG NKK NS SKND SWD ZH 
17,27,AKL ASD AVAT BDM BF BHV BP CO DRP DWE GBG GBR GK HD HLG HTN HVSM HVSP KW NDB PT SD SDA SK STZ WSM WW 
18,19,AMPO ASS BSMZ DLN EML EMNZ GR HLGH HLM IJT MTH ST STM UST UTLN WFM WP WS WWW 
19,19,ALMM APG ASDL BHDV BLL DMN DMNZ EMN HAD HGZ HN HWZB LP NSCH OVN PMR UHZ WK ZD 
20,17,ALM ASSP CAS DZ DZW GND HLMS HNK HNP KZ PMO SPTZ UHM WR ZB ZDK ZVT 
21,17,ALMB ALMO ALMP AMR ASDM HBZM HKS HLO KMW LEER LLS PMW RD SDT SPTN VDM ZZS 
22,7,AMRN BKG DRH EEM SDTB STV WM 
23,4,BKF DDRS HWD KMA 
24,5,DDR EKZ OBD SGN UTG 
25,6,ANA DDZD HK RTB RTD ZWD 
26,7,BRD BV DT DTCP HDRZ RTN SDM 
27,2,HDR RLB 
28,2,RTST RTZ 
