hopcount,size,stations
1,2,ATN TBG 
2,2,GDR WW 
3,2,DTC WWW 
4,2,DTCH LTV 
5,2,RL WL 
6,2,DID VD 
7,2,ZP ZV 
8,6,AH APD DV DVN LC VEM 
9,15,AHZ AML APDO DVC ED EST GO KBK NM OST OTB TWL UT WC WTV 
10,28,AHP AMRI APDM ASA ASB DB DDN DVD EDC GD GDG HON KLP MAS NMGO NMH NML O RVS UTLR UTM UTO UTZL VZ WD WF WH ZA 
11,29,AHPR ASDZ ASHD BDG BKL BNK DA GV GVC HGLG HMN HOR HT LLZM LTN MMLH MRN NMD NWK OW RAI RSN RTA RTD SHL UTT VB WADT ZL 
12,37,AC APN ASN BNZ CK CPS DL DT DTCP EHV GVMW HFD HGL HGV HNO KPNZ LAA MP OP RAT RS RTB RTN SDM TB UTVR VG VHP VNDW VP VTN WAD WDN WV WZ ZLSH ZTMO 
13,40,AKM BD BL BMR BN BNC BSK BTL DRON ES ESK GN GP HDE HGLO HM HMBV HR HRN HTO KPN KTR LDL LW MRB NVD NVP ODZ OMN RH RSW RTZ SWK TBU UTLN VNDC WADN WT YPB ZTM 
14,32,BDPB BET BNN BSKS DEI DR ESE ETN FN FWD GERP GNN GW HDB HDG HMBH HMH HTN HZE LEDN LWC MG OT RHN RSD RTST SKND SWD TBR TL VLB ZH 
15,28,BDM BF BGN BMN BP CO DRP DVNK DWE EHS GBG GBR GK GZ HLG HTNC HVL KW MZ ODB SDA SK SSH TPSW VH VRY WSM ZLW 
16,18,AMF BR DLN EMNZ GDM GS HIL HLGH IJT KRG MTH RB STM UST VST WFM WS ZVB 
17,23,AMFS APG ARN BRN BSD BZL CL DLD EMN GVM HGZ HRT HVS KBD LP MDB NKK NS NSCH UHZ VL WK ZBM 
18,21,ASD AVAT BHV DN DZ DZW HD HNP HVSM HVSP LDM NDB PT SD STZ TG UHM VS VSS WR ZB 
19,13,AKL AMPO ASS BSMZ EML HLM KMW LEER RD RV ST VDM WP 
20,15,ALMM ASDL BLL DMN DMNZ EEM GR HAD HN HWZB OVN PMR SM STV ZD 
21,12,ALM ASSP BHDV CAS HLMS HNK KZ PMO RM SPTZ ZDK ZVT 
22,14,ALMB ALMO ALMP AMR ASDM EC GND HKS HLO LLS PMW SPTN STD ZZS 
23,11,AMRN BKG DRH GLN HBZM HRL LUT MT SDT SRN WM 
24,10,BK BKF HRLW HWD KMA LG MTN MTR SBK SDTB 
25,12,BDE DDRS EDN EGH EGHM EKZ MES OBD SGN SN UTG VDL 
26,7,ANA CVM DDR HK KMR NH SGL 
27,7,BV DDZD HB HDRZ KRD SOG ZWD 
28,3,BRD HDR VK 
29,1,RLB 
