hopcount,size,stations
1,2,UTT WD 
2,3,BDG GDG UTLR 
3,3,APN GD UT 
4,25,AH AMF ASA ASB ASD BSK DB DVD ED GV GVC HT KLP LDL LLZM MAS NWK RTA RTD UTM UTO UTVR UTZL VB WADT 
5,49,AHP AHZ AMFS APD ASDM ASDZ ASHD ASS BHV BKL BNK BSKS CPS DDR DMNZ DR DT DTCP DV EDC EHV EST GVMW HLM HOR HTO HVL HVSP LAA LEDN MRN NKK NM NS O RAI RSD RTB RTN SDM SHL TB UTLN VG WAD WF ZL ZTMO ZV 
6,64,AC AHPR AML APDM APDO ASDL ASN ASSP AVAT BD BGN BLL BMN BNN BTL DDRS DDZD DID DL DLD DVC DVNK GP HAD HD HDE HFD HGV HM HMBV HN HNO HTN HVS HWZB KPNZ MP NMGO NMH NML OST OTB OVN PMR PT RAT RS RSW RTZ RVS SSH TBU VH VNDW WADN WT WTV WV YPB ZD ZLSH ZLW ZP ZTM 
7,61,AKM AMRI BDPB BET BL BNC CAS DMN DN DVN EML ETN GN GS HIL HLMS HMBH HMH HNK HON HR HRN HTNC HVSM HZE KBK KPN KRG KZ LC LW MMLH NDB NMD NVD NVP OMN OT OW PMO RB RLB RM RTST SPTZ STZ SWK TBR TWL VD VNDC VP VST VZ WC WH WL WZ ZDK ZVB ZVT 
8,50,AMPO AMR ARN BN BNZ BRD BSMZ BZL CK CL DA DEI DTCH EC EHS FN FWD GERP GNN GO GVM GW GZ HDB HDG HKS HLO HRT KBD LWC MDB MG MRB MZ ODB PMW RH RHN RL RSN SKND SM SPTN ST STD SWD VEM WP ZH ZZS 
9,37,ALMM AMRN BDM BF BKG BMR BP BR CO DDN DRH DRP DTC DWE GBG GDM GK GLN HLG HRL KW LTN LTV LUT MT RV SD SDA SK SRN VHP VS VSS WDN WM WSM ZWD 
10,27,ALM BK BKF BRN BSD DLN EMNZ GDR HGLG HLGH HRLW HWD IJT KMA LG MTH MTN MTR SBK STM TPSW UST VL VLB WFM WS ZBM 
11,28,ALMB ALMO ALMP APG BDE EDN EGH EGHM EKZ EMN HGL HGZ LDM LLS LP MES NSCH OBD SGN SN TBG TG TL UHZ UTG VDL VRY WK 
12,20,AKL ANA CVM DRON DZ DZW ES ESK HGLO HK HNP KMR KTR NH ODZ SGL UHM VSV WR ZB 
13,13,ATN BV ESE GR HB HDRZ KMW KRD LEER OP RD SOG VDM 
14,8,BHDV EEM GBR HDR HMN STV VK WW 
15,3,GND WWW ZA 
16,2,HBZM SDT 
17,1,SDTB 
